[2026-05-05 10:47:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-04
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605040000+TO+202605042359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-4 | Research on Spectrum Sensing Method for Non-Cooperative Targets Correction
[IEEE] 2026-5-4 | DFOGI-RLS Lattice-FLL Based Synchronization Technique for Wind-PV-BESS Based Standalone Distributed System With Local Non-Linear Load
[IEEE] 2026-5-4 | Low-Power High-Speed Approximate Ternary Half-Adder and Multiplier Circuit Design Using Carbon Nanotube Field-Effect Transistors
[IEEE] 2026-5-4 | Design and Performance Evaluation of a Threephase Multilevel ANPC Switched-Capacitor
[IEEE] 2026-5-4 | Optimized Power Flow Management in High Renewable and PEV Penetration Scenarios Using Multi-Verse Optimizer
[IEEE] 2026-5-4 | A 5G-Enabled IoT Architecture for V2V and V2I Communication in Autonomous Vehicles
[IEEE] 2026-5-4 | Design and Simulation of an Electronic on-Load Tap Changer Transformer Under Transient and Steady-State Conditions
[IEEE] 2026-5-4 | Reinforcement Learning-Based Tuning of a Bidirectional Wireless Charging System to Zero Phase Angle Under Misalignment
[IEEE] 2026-5-4 | Anomaly Detection in Industrial Time Series Using LSTM: A Case Study on Solar Panel Monitoring
[IEEE] 2026-5-4 | Boosting Energy Storage Performance: Ni-Doped $\text{ZnMn}_{2} \mathrm{O}_{4}$ as a Promising Electrode for Supercapacitors
[IEEE] 2026-5-4 | A Dual Input Single Output Nonisolated DC/DC Converter for Low/High Voltage Sources with Step Down/Up Capabilities
[IEEE] 2026-5-4 | Design and Hil Validation of a Closed-Loop Controlled 5 KW LLC Resonant Converter for 400 V DC Output Using OPAL-RT
[IEEE] 2026-5-4 | A Closed Form Fault Location Method for Double-Circuit Series Compensated Lines
[IEEE] 2026-5-4 | A Transformer Less Zeta Converter with Reduced Voltage Stress for Hybrid Electric Vehicle Applications
[IEEE] 2026-5-4 | A Seven-Level Triple-Boost Common-Ground Multilevel Inverter with Reduced Voltage Stress
[IEEE] 2026-5-4 | Enhancing the Life Expectancy of Storage Device in a Solar Pv Based Microgrid
[ACM] 2026-5-5 | Generative Artificial Intelligence and Corporate Risk-Taking: A Stylized Theoretical Framework with Evidence
[ACM] 2026-5-5 | Mitigating Repetitive Generation of Motion Tokens in Motion-Language Model via Knowledge Distillation
[ACM] 2026-5-5 | Generative AI-Driven Digital Media Platforms for Interactive Art Communication
[IEEE] 2026-5-4 | Converging Technologies and Their Human Impact: Ethical and Societal Reflections on Nanotechnology, Biotechnology, Information Technology, and Cognitive Science (NBIC) Systems — A Systematic Review
[IEEE] 2026-5-4 | Toward Digital Transformation 4.0 in the Global South: A Zimbabwean Framework for Policy, Inclusion, and Industrial Resilience
[IEEE] 2026-5-4 | Meta-Analysis of Climate-Smart Livestock Management and Greenhouse Gas Emissions
[IEEE] 2026-5-4 | A Systematic Review of Feature Modelling Challenges in Multimodal Learning
[IEEE] 2026-5-4 | Frequency-Domain Signatures for Proactive Defense Against Model Poisoning Attacks in Federated Learning
[IEEE] 2026-5-4 | Reducing Annotation Dependency in Low-Resource NLP Using Bootstrap Techniques: A Shona Case Study
[IEEE] 2026-5-4 | VLM-Guard: Defending Jailbreaks by Monitoring Only Hundreds of Safety-Critical Neurons
[IEEE] 2026-5-4 | DC Bus Voltage Control Strategy for Hybrid Energy Storage System with Renewable Energy System
[ACM] 2026-5-4 | A Survey of Jailbreaking Attacks on Large Language and Multimodal Models
[ACM] 2026-5-4 | Enhancing Python Programming through ChatGPT-5 Study Mode: A Study on Learning Achievement, Motivation, and Self-Regulated Learning in Serious Game Learning with CodeCombat
[ACM] 2026-5-4 | Predicting Employee Attrition Using Supervised Machine Learning: A Comparative Study
[ACM] 2026-5-4 | Comparative Study of Generic and Dedicated Generative AI Platforms for K-12 School Cyber Security Improvement
[ACM] 2026-5-4 | Emergent Self-Awareness in Distributed AI Systems: From GlobalWorkspace Integration to Measurable Consciousness
[IEEE] 2026-5-4 | SSDiff: A Contrast-Free Virtual LGE Generator for Acute Myocardial Infarction with Joint Segmentation via Diffusion Model
[IEEE] 2026-5-4 | Masthead
[IEEE] 2026-5-4 | Time-Frequency Feature Analysis of Underwater Borehole Blasting Shock Wave Based on CEEMDAN-VMD-SST
[IEEE] 2026-5-4 | When CNNs Truly Outperform PCE on Source Camera Attribution?
[IEEE] 2026-5-4 | Time-frequency spectrum analysis and CNN for automatic radar emitter signal recognition under impulse noise
[IEEE] 2026-5-4 | Chemo-Hydrodynamic Transceivers for the Internet of Bio-Nano Things
[IEEE] 2026-5-4 | Multi-UAV Resource Allocation and Trajectory Planning via Hierarchical Coalition Game for Radar Network Suppression
[IEEE] 2026-5-4 | Outflanking bandwidth limitations for Terahertz generation in silicon metasurfaces
[IEEE] 2026-5-4 | A Novel Multitask and High-Generalization Method for Variable-Length Complex Power Quality Disturbances Signals Classification
[IEEE] 2026-5-4 | Dynamic Event-Based Fuzzy Quantized Fault-Tolerant Control for Cascaded ODE-Belt Systems With Actuator Failures and Quantization
[IEEE] 2026-5-4 | Achieving Information Equilibrium: An Integrated Economic-Sociotechnical-Institutional Framework for Governing Artificial Intelligence Asymmetries
[IEEE] 2026-5-4 | Constant Power Wireless Charging with Active Load Impedance Matching Network
[IEEE] 2026-5-4 | Modelling of Partial Discharge Detection in Power Transformer Using ZnO Material Based Piezoelectric Sensor
[IEEE] 2026-5-4 | Accurate State of Charge Estimation of Li-Ion Battery Pack in Real Driving Conditions Using Safe Reinforcement Learning
[IEEE] 2026-5-4 | Hybrid Deep Learning Models for Real-Time Anomaly Detection in Electric Vehicle Systems
[IEEE] 2026-5-4 | Differentiation Method Based Reduction of Interconnected Hybrid Power System
[IEEE] 2026-5-4 | Modelling and Control of Fourth-Order Zeta Converter for Electric Vehicle Charging
[IEEE] 2026-5-4 | A Modified Smith Predictor Approach for Controlling Unstable Cascade Processes
[IEEE] 2026-5-4 | Interval Modelling and Model Order Reduction of WTG Connected Power System
[IEEE] 2026-5-4 | Comparative Analysis of Power Performance Enhancement in Solar PV Systems Using Phase Change Materials Across Distinct Indian Climate Zones
[IEEE] 2026-5-4 | Electricity Theft Detection Model Using CNN-BiLSTM with Attention Mechanism in Smart Grid Environment
[IEEE] 2026-5-4 | A Novel THF-NLFXLMS Control Approach for PMSG-Integrated Three-Phase Microgrid Intended to G2V and V2G EV Charging Infrastructure
[IEEE] 2026-5-4 | Thermal Phase Sensitivity Reduction in Hollow-Core Photonic Bandgap Fibers Enabled by a Stress-Buffering Coating Architecture
[IEEE] 2026-5-4 | Vibration Based Incipient Inter Turn Fault Diagnosis in Permanent Magnet Synchronous Machine Using Deep Learning Approach
[IEEE] 2026-5-4 | Field-Oriented Control of Synchronous Reluctance Motor for Electric Vehicle
[IEEE] 2026-5-4 | Addressing Cyber-Physical Vulnerabilities in V2G and G2G Systems Through a Hybrid Recovery Framework
[IEEE] 2026-5-4 | Hydrogen as a Decarbonization Vector: Classification, Production Insights, and its Range
[IEEE] 2026-5-4 | Gaussian Process Regression-Assisted Sliding Mode Control for Trajectory Tracking of Unmanned Surface Vehicles
[IEEE] 2026-5-4 | AC-Powered Dual-Active-Bridge (DAB) Based EV Charger with Reduced Current Stress Converter Using an Adaptive DC Link
[IEEE] 2026-5-4 | Improved PEM Fuel Cell Parameter Identification Through Polynomial Regression Assisted PSO
[IEEE] 2026-5-4 | A Unified Approach for Mitigating Loss of Excitation Using Adaptive Sliding Mode Control
[IEEE] 2026-5-4 | Time Domain Dielectric Response of Transformer Oil-Paper Insulation Retrofilled With Natural Ester Oil
[IEEE] 2026-5-4 | Design, Analysis and Control of Dual-Mode Voltage Equalizer using Switched-Capacitor and Fly-Back Converter for Series-Connected Battery String
[IEEE] 2026-5-4 | Efficient Method for Maximizing Power Output from a Hexagonal Solar Pyramid Structure Compared to a Planar Surface
[IEEE] 2026-5-4 | Parametric Analysis of Grid Forming Inverter with Inertia Emulation for Microgrid Applications
[IEEE] 2026-5-4 | Improving Active Power Generation With Interconnected Power System with Artificial Electric Field Algorithm Supported by SMES and UPFC
[IEEE] 2026-5-4 | The Efficiency-Quality Dilemma: Real-Time HIL Validation of MPPT Algorithms for Resilient Rural PV-Grid Integration
[IEEE] 2026-5-4 | Renewable Energy and Load Demand Forecasting Using Multivariate Time Series Foundation Model
[IEEE] 2026-5-4 | Multi-Channel LSTM Framework for Intermittent and Incipient Fault Detection &amp; Isolation in Nuclear Reactor Core Instrumentations
[IEEE] 2026-5-4 | AMIGO Method Based Control Strategy for Frequency Stabilization in Marine Microgrid
[IEEE] 2026-5-4 | Hydrodynamic Modeling and Matrix Converter-Based Control of a PMLG for Ocean Wave Energy Harvesting
[IEEE] 2026-5-4 | Dynamic Effects on Flux Linkage Versus Current Contours in Single-Pulse-Operated High-Speed Switched Reluctance Machine
[ACM] 2026-5-4 | Research on Digital Design of Chu Culture Lacquerware Patterns Based on Style Transfer Algorithms
[ACM] 2026-5-4 | A Lightweight Target Detection Algorithm for Remote Sensing Images
[ACM] 2026-5-4 | Research on Initial Pointing Scheme for GEO Inter-satellite Laser Communication Based on Position Uncertainty
[IEEE] 2026-5-4 | Joint Shape-Position Optimization Enhanced 2D DOA Estimation in Movable Antenna Systems
[IEEE] 2026-5-4 | SSM-DETR: A High-Fidelity Fisheye Perception Framework for Autonomous Driving Scenarios
[IEEE] 2026-5-4 | A Ka-Band Splash Hat-Fed Reflector Antenna With Ultra-Wideband and ETSI Class IV Radiation Patterns for 5G Backhaul
[IEEE] 2026-5-4 | FISformer: Replacing Self-Attention with a Fuzzy Inference System in Transformer Models for Time Series Forecasting
[IEEE] 2026-5-4 | Towards Long-Tailed Federated Edge Learning: A Strategic Data Selection Framework
[IEEE] 2026-5-4 | ThermalGaussian++: Improving Alignment and Resolution for ThermalGaussian
[IEEE] 2026-5-4 | Advancing In-Context Learning for Efficient and Stable Medical Report Generation
[IEEE] 2026-5-4 | Improved Residual Learning in Diffusion Models
[IEEE] 2026-5-4 | Constrained Harmonization of Optical Satellite Imagery for Surface Reflectance Bias Removal
[IEEE] 2026-5-4 | Beyond SCR: A Comprehensive Approach to System Strength Assessment in IBR-Rich Networks
[IEEE] 2026-5-4 | DeepSecure: Hybrid Deep Learning Framework for Detecting Security Vulnerabilities in Python Code_supp2-3689776.pdf
[IEEE] 2026-5-4 | Decision-Making in Controlled Environment Agriculture: Producer Perspectives on Digital Decision-Support Tools in the US_supp1-3677667.docx
[IEEE] 2026-5-4 | Unified Multimodal Industrial Anomaly Detection via Few Normal Samples
[IEEE] 2026-5-4 | Mitigating Attacks on Web Applications via Fine-Grained Adaptive Control-Flow Integrity
[IEEE] 2026-5-4 | Lightweight Spiking U-net: An Energy-Efficient Network for Radar LSS Target Detection
[IEEE] 2026-5-4 | Copyright Page
[IEEE] 2026-5-4 | Financial Services Information Security Culture: The Effect of Strategy, Top Management Involvement, Knowledge and Knowledge Sharing
[IEEE] 2026-5-4 | Security Engineering with AI for Purple Teaming: Multi-Case Study of Cybersecurity Engineering Practices in Zimbabwe, Zambia and Botswana
[ACM] 2026-5-4 | Shaping AI Governance in the Global South: A Policy Analysis of Philippine Universities and Agencies
[ACM] 2026-5-5 | LLM-Based Multi-Agent Method for Compliant Generation of Electrical Bonding Processes
[ACM] 2026-5-5 | Low-Hallucination RAG for Mathematical Question Answering: A Trustworthy Generation Method Based on Retrieval Hygiene, Step-Tree Reasoning, and Symbolic-Solver Feedback
[ACM] 2026-5-4 | The AI-Native Developer
[ACM] 2026-5-4 | Research on Precision Intervention of Learning Behaviors among Higher Vocational Students Based on Academic Profiles Using K-means Clustering
[ACM] 2026-5-4 | Traffic Flow Prediction Method Integrating Multi-Feature Engineering with BiLSTM-MHA-PSO
[ACM] 2026-5-4 | Predicting Customer Participation in Affiliate Marketing Using Boosting Models in E-Commerce
[IEEE] 2026-5-4 | Cover 3
[IEEE] 2026-5-4 | Teletext on the Radio: Co-Opting Some of the Best Tech from the 1980s
[IEEE] 2026-5-4 | A Simulation-Based AI-Assisted Framework for Beam Steering in Reconfigurable Metasurface Antennas
[IEEE] 2026-5-4 | CraftGround: A High-Performance Reinforcement Learning Environment Based on Minecraft
[IEEE] 2026-5-4 | A Step-size Adaptation Golden Eagle Optimizer-Based K-Means Method for Maritime Search and Rescue Clustering
[IEEE] 2026-5-4 | Fixed-Time Sliding Mode Control of a Thrust-Vectored Planar VTOL UAV with Strongly Coupled Dynamics
[IEEE] 2026-5-4 | TSUE+: an Efficient Update Framework with Swift Recycling Mechanism for Erasure-Coded Cluster File Systems
[IEEE] 2026-5-4 | Design Factors Affecting IMU-based Joint Torque Estimation Using Deep Learning
[IEEE] 2026-5-4 | Table of Contents
[IEEE] 2026-5-4 | CCAT: Silicon-Platelet Feedhorns for Submillimeter Wavelengths
[IEEE] 2026-5-4 | Highly Integrated Electrically Small Magneto-Electric Dipole Rectenna for Simultaneous Wireless Information and Power Transfer
[IEEE] 2026-5-4 | On the Availability Risks of Production LLM Services under Unbounded Inference
[IEEE] 2026-5-4 | Research of Radiation Tolerance via Polyimide Matrix Multilayer Dielectric Structures
[IEEE] 2026-5-4 | Mitigation of Corona Discharge Breakdown in ESIW Bandpass Filters
[IEEE] 2026-5-4 | Enhancement of Partial Discharge Performance and Insulation Stability of XLPE/SiR Heterointerfaces in Cable Accessories by Plasma Silicon Deposition
[IEEE] 2026-5-4 | HAPS- and UAV-Based 6G NTN Architecture for Rural Vehicular Connectivity
[IEEE] 2026-5-4 | Spectrum-Efficient Coherent Photonic Terahertz Transmission System Based on Subcarrier Multiplexing with Offset Quadrature Amplitude Modulation
[IEEE] 2026-5-4 | “Optimizing Interconnection Calls Routing: A Machine Learning Approach for Cost Efficiency.”
[IEEE] 2026-5-4 | Copyright Page
[IEEE] 2026-5-4 | Countering Disturbances in Single Phase Grid Integrated PV System Under Abnormal Grid Conditions
[IEEE] 2026-5-4 | Smart Controller for Energy-Efficient AHU Operation in Academic Buildings
[IEEE] 2026-5-4 | Performance Analysis of INC, VCPSO, CFPSO, CS and SSA MPPT Methods for Maximizing Power Output of Solar PV Arrays Under Dynamic Shading
[IEEE] 2026-5-4 | Feasibility and Economic Assessment of a Rooftop Solar Photovoltaic System Using Homer Pro Software
[IEEE] 2026-5-4 | Modeling and Control of a Single-Phase CHB Inverter-Based Grid-Tied EV Charging Station with a Dual Active Bridge Interface
[IEEE] 2026-5-4 | Investigation on Electric Vehicle Charging and Strategies to Mitigate its Negative Impact on Distribution Grid
[IEEE] 2026-5-4 | An Incremental MPPT-Controlled Soft-Switched LED Driver Using a PV-Fed Boost Converter for Street Lighting
[IEEE] 2026-5-4 | Impact Analysis of EV Drive Cycles and Types on the Optimal Management of Smart Homes
[IEEE] 2026-5-4 | Techno-Economic Analysis of Integrating Optimized Hydrogen Fuel Cell as an Energy Buffer in Green Energy Microgrid
[IEEE] 2026-5-4 | Optimized Operational Strategy for Integrated Multi-Carrier Energy Systems
[IEEE] 2026-5-4 | A Multiport Charging Station Based on Parallel Hybrid Converters with Grid and Load Unbalance Compensation
[IEEE] 2026-5-4 | Control of Dual Transformer Triple Active Bridge with NN-Based Link Current Optimization
[IEEE] 2026-5-4 | Analysis and Comparison of Control Strategies for Improved Dynamic Response in DC-DC Luo Converters
[IEEE] 2026-5-4 | Matrix Converter-Fed DFIG for Variable-Speed Wind Energy Systems: A Vector Control Approach
[IEEE] 2026-5-4 | A New Wide-Range ZVS Enabled Single-Stage AC–AC Converter for Solid-State Transformers (SST)
[IEEE] 2026-5-4 | VSG-Based Grid Forming Inverter Control for Solar PV and Electric Vehicles to Enhance the Frequency Stability in LFC Systems
[IEEE] 2026-5-4 | Modeling of Mazzilli ZVS Flyback Converter Coupled with Cockcroft-Walton Voltage Multiplier Using MATLAB Simulink
[IEEE] 2026-5-4 | $\alpha$-Blend MPC: A Curvature-Adaptive Dual-Weight Model Predictive Control for Autonomous Vehicle Navigation
[IEEE] 2026-5-4 | Tensile Strength and Thermal Degradation Analysis of EPDM Composites for High Voltage Insulation
[IEEE] 2026-5-4 | Coordinated Three-Axis Linear Slide Stage Control: A Case Study
[ACM] 2026-5-5 | The Role Transition of E-commerce Font Designers in the AIGC Era: From “Scribes” to “Curators” and “Algorithm Tame Masters”
[ACM] 2026-5-4 | Large Language Models for 3D IC Space Planning
[ACM] 2026-5-4 | LLM-based Enhanced Question Answering System in Medical Domain
[ACM] 2026-5-4 | Computational Thinking in ICILS 2023: Analyzing the Construct and Its Antecedent- and Process-Level Predictors
[ACM] 2026-5-4 | Financial News Sentiment as a Key Indicator of Economic Temporal Dynamics
[ACM] 2026-5-4 | Hybrid techniques for Legal Text Summarization: A comparative analysis
