[2026-06-23 12:08:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-22
正在获取论文...
[arXiv] 2026-06-22 | Emergence of Common Noise: Quantitative Conditional Propagation of Chaos
[arXiv] 2026-06-22 | The Prevalence and Impact of Licenses in Open Software Projects
[arXiv] 2026-06-22 | A Bias-Corrected Two-Stage Approach for Joint Modelling of Multidimensional Longitudinal HRQoL and Survival Data
[arXiv] 2026-06-22 | Weighted Score-Oriented Losses for Temporally Localized Event Prediction
[arXiv] 2026-06-22 | Reduced-Order Modelling of Defect Transport using Surrogate Kinetics: Application to U$_x$Pu$_ {1-x}$N
[arXiv] 2026-06-22 | Technical Report for the ICRA 2026 GOOSE 2D Fine-Grained Semantic Segmentation Challenge: Pretraining-Diverse Ensemble of Foundation Vision Encoders for Robust Outdoor Scene Understanding
[arXiv] 2026-06-22 | Fault Inception Detection in Real-World Disturbance Data for Power System Protection
[arXiv] 2026-06-22 | Observation of stopping power reduction at strong ion-plasma coupling
[arXiv] 2026-06-22 | ReNIO: Reweighting Negative Trajectory Importance for LLM On-Policy Distillation
[arXiv] 2026-06-22 | Minimax Quantile Lower Bounds for Interactive Statistical Decision Making with Privacy
[arXiv] 2026-06-22 | FlowTrain: Flow-Based Decoupled Training for Industrial-Grade Vision-Language Models
[arXiv] 2026-06-22 | A Systematic Survey on Event Camera Representation Learning
[arXiv] 2026-06-22 | Conformal blocks, parenthesized braid operad, and $c=1/2$ Virasoro vertex operator algebra
[arXiv] 2026-06-22 | Safety in Self-Evolving LLM Agent Systems: Threats, Amplification, and Case Studies
[arXiv] 2026-06-22 | Estimating common synaptic inputs to spinal motor neurons from motor unit spike trains using openhdemg
[arXiv] 2026-06-22 | STAR-VAE: Structured Topology-Aware Regularization for Audio Reconstruction and Generation
[arXiv] 2026-06-22 | VolHuMe: a High-Resolution Large Scale Dataset of Volumetric Human Meshes
[arXiv] 2026-06-22 | Three-Step Hierarchical Transformer for Multi-Pedestrian Trajectory Prediction
[arXiv] 2026-06-22 | Who Owns the AI Recommendation? A Multi-Industry Empirical Map of Brand Category Ownership Across Large Language Models
[arXiv] 2026-06-22 | Tomography of Transport Pathways in Selective-Area-Grown Nanowires Using Angle-Resolved Conductance Fluctuations
[arXiv] 2026-06-22 | Unlimited OCR Works
[arXiv] 2026-06-22 | Domain Adaptation Under Wireless Network Constraints: When Does It Become Green?
[arXiv] 2026-06-22 | MaxWave Signal: Rapid, coherent maximum likelihood wavelet reconstruction of transient signals in gravitational wave data
[arXiv] 2026-06-22 | Have You Ever Seen Them? Entity-level Membership Inference through Interrogating Large Language Models
[arXiv] 2026-06-22 | Standard Polynomials for Principal Subalgebras $\mathbb{K}Q_{\geq 1}$ of Path Algebras
[arXiv] 2026-06-22 | Sidorenko Inequalities for Two-Sided Group Correlation Kernels
[arXiv] 2026-06-22 | Transverse Emittance and Emittance Measurements
[arXiv] 2026-06-22 | Optimisation of tipping pathways in a spatially heterogeneous world
[arXiv] 2026-06-22 | Black-Box Continual Learning for Vision-Language Models
[arXiv] 2026-06-22 | Large-Area Patternable Solar-Powered Bistable Organic Film for Nonlinear Optical Communication
[arXiv] 2026-06-22 | StatABench: Dataset and Framework for Evaluating Statistical Analysis Capabilities of LLMs
[arXiv] 2026-06-22 | When Preferences Fail to Become Incentives: A Utility-Behavior Gap in Large Language Models
[arXiv] 2026-06-22 | Broadcasting on Random Trees: Martingale Methods and Error Bounds
[arXiv] 2026-06-22 | On the automorphism group of direct product of digraphs
[arXiv] 2026-06-22 | Prescribed Initial Behavior of $μ(I^k)$
[arXiv] 2026-06-22 | FORGE: Fused On-Register Gradient Elimination for Memory-Efficient LLM Training
[arXiv] 2026-06-22 | Reaction-Network-Level Discovery of Ammonia Synthesis Catalysts via Ten-Million-Scale Generative Exploration
[arXiv] 2026-06-22 | Are most detected tidal disruption events partial?
[arXiv] 2026-06-22 | Each Judge Its Own Yardstick: Discovering Per-VLM Taxonomies for Physical Video Evaluation
[arXiv] 2026-06-22 | ThermoLLM: Thermodynamics-Aware HVAC Control with Spatial-Semantic Knowledge Graph
[arXiv] 2026-06-22 | Improving Robotic Imitation Learning via Trajectory Standardization
[arXiv] 2026-06-22 | Radio Resource Allocation for Beam Hopping Scheduling in LEO Satellite Communications: A Spatio-Temporal Perspective
[arXiv] 2026-06-22 | SingGuard: A Policy-Adaptive Multimodal LLM Guardrail with Dynamic Reasoning
[arXiv] 2026-06-22 | MSU-Bench: Towards Speaker-Centric Understanding in Conversational Multi-Speaker Scenarios
[arXiv] 2026-06-22 | Discovering Crystal Structure Prediction Algorithms with an AI Co-Scientist
[arXiv] 2026-06-22 | Free-Running Waveguide-Integrated Single-Photon Avalanche Detectors for Visible Light
[arXiv] 2026-06-22 | Chains That See, Answers That Don't: A Multi-Aspect Evaluation Recipe for Forced Chain-of-Thought on Video-MME
[arXiv] 2026-06-22 | Thermal Transport in SiC with Intrinsic Defects and Mg Transmutation Products
[arXiv] 2026-06-22 | RaMem: Contextual Reinstatement for Long-term Agentic Memory
[arXiv] 2026-06-22 | When the Learning With Errors Problem Meets the Coherent Ising Machine: A Penalty-Free Algorithm-Hardware Co-Design
[arXiv] 2026-06-22 | IndicGuard: A Multilingual Safety Guard Model and Dataset for Indic Languages
[arXiv] 2026-06-22 | FPAS: Frontier-Based Path Planning with Adaptive Sampling for Large-Scale Unknown Environments
[arXiv] 2026-06-22 | CLIP-guided Diffusion Model for Backdoor Generation in Sensor-based Human Activity Recognition
[arXiv] 2026-06-22 | Linear optical Bell state measurement for rotation-symmetric cat codes
[arXiv] 2026-06-22 | Learning-Augmented Algorithms for Online Vertex Cover
[arXiv] 2026-06-22 | What You See Is Not What You Execute: Memory-Based Runtime SBOM Generation for Supply Chain Security
[arXiv] 2026-06-22 | BranchShine: Compact Raw-Audio-to-IPA Transcription with a RoPE E-Branchformer Encoder
[arXiv] 2026-06-22 | A Linearized Obstruction to the Supersymmetric Extension of Conformal Boundary Conditions in Euclidean Gravity
[arXiv] 2026-06-22 | KaLM-Reranker-V1: Fast but Not Late Interaction for Compressed Document Reranking
[arXiv] 2026-06-22 | Smooth Solutions to Systems of Linear Inequalities on $\mathbb{R}$
[arXiv] 2026-06-22 | CoVStream: Edge-Cloud Collaboration for Understanding of Long Video Streams
[arXiv] 2026-06-22 | Capable but Careless: Do Computer-Use Agents Follow Contextual Integrity?
[arXiv] 2026-06-22 | A Rank-Preserving Locality Theorem
[arXiv] 2026-06-22 | A Benchmark of (MRI-) Foundation Models to Predict IDH Mutational Status in Glioma
[arXiv] 2026-06-22 | Single Particle Excitations, Band Structures and Octupole Correlation in $^{65}$Zn
[arXiv] 2026-06-22 | Anisotropic 2D FUP and quantum open baker's map
[arXiv] 2026-06-22 | Bridging Semantics and Kinematics: A Modular Framework for Zero-Shot Robotic Manipulation
[arXiv] 2026-06-22 | On the gain of entrainment in stable linear control systems with a nonlinear output
[arXiv] 2026-06-22 | Closed and broken electromagnetic orbits in Kerr--Newman spacetime
[arXiv] 2026-06-22 | Irreversibility Enhances Quantum-Enhanced Markov-Chain Monte Carlo
[arXiv] 2026-06-22 | The hidden variability of the torus in local Active Galactic Nuclei: 20 years of Chandra, XMM-Newton, and NuSTAR observations
[arXiv] 2026-06-22 | FedOT: Ownership Verification and Leakage Tracing via Watermarks for Federated LDMs
[arXiv] 2026-06-22 | A modified Riemannian Levenberg-Marquardt Algorithm for robust or constraint optimization on manifolds
[arXiv] 2026-06-22 | Orientation matters: Consequences for gravitational-wave background detectability
[arXiv] 2026-06-22 | Next-to-next-to-leading-order QCD corrections to ${}^3S_1^{(8)}$ gluon fragmentation function for quarkonium
[arXiv] 2026-06-22 | Variations of Helly's theorem for convex splinters
[arXiv] 2026-06-22 | On Generalized Milnor Manifolds and Their Topological Complexity
[arXiv] 2026-06-22 | Bunny Codes: Broadening Superconducting Quantum Error Correction Capability through Advanced Control Engineering
[arXiv] 2026-06-22 | Approximating velocity fields with planted attractors via Neural-ODEs for classification purposes
[arXiv] 2026-06-22 | Koshur Pixel: a large-scale synthetic ocr dataset for kashmiri
[arXiv] 2026-06-22 | Rethinking Molecular Graph Backdoors under Chemistry-aware Admission
[arXiv] 2026-06-22 | PIVOTSBench: Evaluating Fine-Grained Interpersonal Relationship Reasoning in Multimodal Large Language Models
[arXiv] 2026-06-22 | Universal Value-at-Risk superadditivity
[arXiv] 2026-06-22 | Efficient Energy-Constrained Semi-Device-Independent QRNG with an Integrated Heterodyne Receiver
[arXiv] 2026-06-22 | An \Al clock with $1.6\times10^{-18}$ systematic uncertainty and its frequency ratios
[arXiv] 2026-06-22 | Scalable Physics-Inspired Transformers for Spin Glasses
[arXiv] 2026-06-22 | Level Totients for Integer Mosaics
[arXiv] 2026-06-22 | Optimal Small Set Expanders and Their Codes
[arXiv] 2026-06-22 | When Distortion Helps: Secure GNN Precoding with Nonlinear Power Amplifiers
[IEEE] 2026-6-22 | Velocity-Dependent Doppler–Beam Correlation in Millimeter-Wave V2V Communications: Characterization and Implications
[IEEE] 2026-6-22 | An Integrated Multi-Level Data Quality Control Strategy for Low-Cost GNSS Receivers in Urban Environments
[IEEE] 2026-6-22 | NanoVerse-TSR: Contrastive Learning-Driven Traffic Sign Recognition
[IEEE] 2026-6-22 | Verifiable Error Bounds for Physics-Informed Neural KKL Observers
[IEEE] 2026-6-22 | Generating Black-Box Adversarial Examples for Industrial Control Systems via Immune Co-Evolution
[IEEE] 2026-6-22 | Real-World Gaps in AI Governance Research
[IEEE] 2026-6-22 | A Novel Spectral Index for Photovoltaic Array Mapping Using Satellite Imagery Across Complex Deployment Scenarios and Temporal Variations
[IEEE] 2026-6-22 | ISSCC 2026 Circuit Insights: From Device Physics to Practical Analog Design—A Student’s Perspective [Conference Reports]
[IEEE] 2026-6-22 | Solid-State Circuits Take Root in Colombia: The UIS SSCS Student Chapter [Chapters]
[IEEE] 2026-6-22 | Noise Analysis of Global Continuous GPS Horizontal Position Time Series in IGS20 Solutions
[IEEE] 2026-6-22 | Predictive Analysis of Car Price of Oman Automobile Industry using Comparative ML Models
[IEEE] 2026-6-22 | 9.55 nV/√Hz Low-Noise Chopper Operational Amplifier Based on Auto-Correction Feedback
[IEEE] 2026-6-22 | NEUKRAG: Neuromorphic KG-RAG with Small LLMS for Hardware-Algorithm Co-Design
[IEEE] 2026-6-22 | Additional Reviewers
[IEEE] 2026-6-22 | A Survey of Image Watermarking Methods With AI and Chaos Theory Integration
[IEEE] 2026-6-22 | Smart Signboard for Accident Prevention on Ghat Roads
[IEEE] 2026-6-22 | Towards a Sustainable Future in Oman: Utilizing Associated Gas for Power Generation to Eliminate Gas Flaring in the Oil Industry
[IEEE] 2026-6-22 | Temperature Prediction of a Photovoltaic Panel Integrated with Phase Change Material Using Machine Learning
[IEEE] 2026-6-22 | Hybrid Variational Autoencoder and Graph Neural Network Framework for Personalized Drug Recommendation
[IEEE] 2026-6-22 | Domain-Guided Operator-in-the-Loop Neural Simulation for Gas Turbine Optimization
[IEEE] 2026-6-22 | A Wide-Temperature-Range Relaxation Oscillator with Voltage Feedforward Compensation and Trimmable Capacitors
[IEEE] 2026-6-22 | FRENS: A YOLO-Based Traffic and Flood Monitoring System with Integrated Chatbot and Voice Assistance
[IEEE] 2026-6-22 | Correcting One Deletion and One Substitution with a Constant Number of Reads
[IEEE] 2026-6-22 | STE-rPPGNet: Spatio-Temporal Enhanced Network for Non-Contact Heart Rate Measurement
[IEEE] 2026-6-22 | An Efficient Virtual Gradient-Based Adaptive Delta Maximum Power Point Tracking Algorithm for PV Systems
[IEEE] 2026-6-22 | Precise Torque Estimation and Control for Induction Motors Considering Iron Loss
[IEEE] 2026-6-22 | Learning-Based Radio Resource Management and Bitrate Adaptation for Multi-UAV Video Surveillance over Low-Altitude Wireless Networks
[IEEE] 2026-6-22 | BridgeSafe: An Event-Driven IoT Architecture for Real-Time Overheight Vehicle Detection and Alerting
[IEEE] 2026-6-22 | Finite-State Markov Modeling of Quorum-Sensing Relay Channels for Molecular Communication
[IEEE] 2026-6-22 | Japanese Text Detection with Romaji Transcription
[IEEE] 2026-6-22 | An Integrated GoogLeNet and U-Net Architecture for Accurate Plant Leaf Disease Analysis
[IEEE] 2026-6-22 | A Real-Time Wearable Virtual Keyboard Based on Inertial Finger Gesture Recognition
[IEEE] 2026-6-22 | Developing a Dual-Motor Wind-Turbine
[IEEE] 2026-6-22 | Analysis of Emerging Research Frontiers in Philippine Materials Science Research
[IEEE] 2026-6-22 | Lightweight CNN with Channel Pruning and Efficient Channel Attention for Hazardous Audio Event Detection on Edge Devices
[IEEE] 2026-6-22 | Author Index
[IEEE] 2026-6-22 | Design Optimization of a Direct Contact Liquid Cooling System Through Multi-Material Printing Using Material Jetting
[IEEE] 2026-6-22 | Mamdani Fuzzy Logic-Based Ergonomic Evaluation of Public and Private Animal Shelters and Pounds Across Urban Segments Using Kruskal-Wallis Analysis
[IEEE] 2026-6-22 | Workplace Policies for Preventing Health-Related Issues From Long Time of Stagnation to Modern Employees
[IEEE] 2026-6-22 | Experimental Study and Validation of Heavy-Ion Single-Event Effects in a Baseband Processing SoC
[IEEE] 2026-6-22 | A Literature Review of Predictive Weather Forecasting in the Philippines
[IEEE] 2026-6-22 | Senyasikel: Smart Bike using Helmet Detection System and Signal Light
[IEEE] 2026-6-22 | Development of a PID Control System for Microalgae Cultivation Using Arduino Microcontrollers
[IEEE] 2026-6-22 | Segmentation and Classification of Brain Tumor Testing Using Deep Learning Algorithm
[IEEE] 2026-6-22 | Optimization of Delivery Scheduling for Customer Delivery Networks for Cebu Korean Regional Manufacturing Inc. (CKRMI)
[IEEE] 2026-6-22 | VisioAccelerAI: Field Programmable Gate Array Accelerated Real-time Face Recognition System
[ACM] 2026-6-22 | The Impact of Reward System Visibility on Student Engagement and Learning Outcomes in a Digital Math Platform
[ACM] 2026-6-22 | Prescriptive Persistence: Quantifying the Breakdown in Human-AI Pedagogical Co-Regulation in ELL Writing Feedback
[ACM] 2026-6-22 | Fairness Audits for Learning at Scale: A Two-Stage Audit of Threshold Fairness and Capacity-Limited Support Allocation
[ACM] 2026-6-23 | Reproducibility Report for the Paper: “Mathematical Modeling Framework for Comparison of Vaccination Strategies for Different Diseases”
[ACM] 2026-6-22 | Label-Flip Attack Detection via Trust-Weighted Aggregation in Federated Learning for Underground Mine Security
[ACM] 2026-6-22 | Alloy: Transparent Proxy-Based Coupling Between Stream Processing and Storage
[IEEE] 2026-6-22 | High-Sensitivity Photoacoustic Gas Detection Based on a PMN-PT Piezoelectric Cantilever
[IEEE] 2026-6-22 | Waveform Optimization for FBMC in a Multiple Access Communication Framework
[IEEE] 2026-6-22 | Enabling Fault-Tolerant and Load-Balanced Multi-Query Searchable Encryption with Multi-Level Revocation in Edge-Fog-Cloud for Electronic Health Records
[IEEE] 2026-6-22 | Multimodal Semantic Communication for 6G and Beyond: AI-Driven Architectures, Trends, and Challenges
[IEEE] 2026-6-22 | Semi-Blind Joint Channel and Symbol Estimation for Beyond Diagonal Reconfigurable Surfaces
[IEEE] 2026-6-22 | Protecting Against Unauthorized Dataset Use in Fine-Tuning Text-to-Image Diffusion Models_supp1-3705667.pdf
[IEEE] 2026-6-22 | Enhanced Performance of FeFETs With TiN/SiO
                    <sub>2</sub>
                    /Hf
                    <sub>0.5</sub>
                    Zr
                    <sub>0.5</sub>
