[2026-04-18 09:51:02] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[NO] 647/698 | Investigating Multi-Channel Performance in Mesh Wireless Networks-on-Chip Design
[NO] 648/698 | Multi-Stage Machine Learning Model for Classification and Prediction of Learners
[NO] 649/698 | Case Study: Improving the Robustness of Photonic Neural Networks Against Memory Faults
[NO] 650/698 | Does LLM Generated Code Smell?
[NO] 651/698 | Proceedings of the 2025 15th International Conference on Communication and Network Security
[NO] 652/698 | Optimized Diamond Structure Construction and Its Application to Enhanced MITM Nostradamus Attacks to Enhanced MITM Nostradamus Attacks
[NO] 653/698 | A Comprehensive Methodology for Synthesis of Cylindrical Leaky-Wave Metasurface Antennas
[NO] 654/698 | An FPGA-Efficient CNN Accelerator for Hybrid Model Compression With Scalable Bit-Serial and Bit-Parallel MAC
[NO] 655/698 | Dual-Mode Equilateral Triangular Resonator With Slit for Material Sensing
[NO] 656/698 | Dual-Path Hybrid Network for Boundary-Aware Segmentation and Angle of Progression Measurement in Intrapartum Ultrasound
[NO] 657/698 | Trip Detection Algorithms for Healthy and Amputee Individuals
[NO] 658/698 | LADNet: A Lightweight Axial-Depthwise Network for Phase Unwrapping and Fading Suppression in ϕ-OTDR
[NO] 659/698 | An Inertial and Array-Pressure Multimodal Fusion Sensor System for Robust Zero-Velocity Detection in Pedestrian Navigation
[NO] 660/698 | Response Surface-Based Optimization of Plasma-Activated Water Generated by Air Multipin-to-Water Discharge for Sustainable Microalgae Cultivation_supp1-3680788.pdf
[NO] 661/698 | Task-Oriented Predict-then-Optimize Framework for Channel Prediction and Handover Decision
[NO] 662/698 | Table of Contents
[NO] 663/698 | Insertion-Withdrawal, Contact Behavior and Temperature Rise of a Cantilevered Reed Type Electrical Connector
[NO] 664/698 | Machine Learning and Network Analysis for Cross‑Border Suspicious Transaction Detection: Evidence from the FinCEN Files
[NO] 665/698 | Anchor-SAM: Active Mining of Latent Anchors from SAM Encoder for Road Extraction
[NO] 666/698 | Cross-Phase Knowledge Transfer via Variable Space Alignment for Expensive Incremental Optimization_supp1-3684126.pdf
[NO] 667/698 | <i>E</i>
                    <sup>2</sup>
                    -Former: An Edge-Enhanced Transformer for UAV-Based Small Object Detection
[YES] 668/698 | Resilience Analysis of a Fault-Tolerant MPSoC Interconnection Architecture Under SEU Fault Injection
[NO] 669/698 | Utilizing Deep Reinforcement Learning for Task Offloading and Resource Management in MEC-Enabled 6G Networks
[NO] 670/698 | Validation of Spectroscopy Performance and Calibration in Compliance with ISO Standards
[NO] 671/698 | Resilient Autonomy: Securing Intelligent Systems Against Adversarial Attacks
[NO] 672/698 | Penetration Testing Analysis on IP Cameras in IoT Ecosystems
[NO] 673/698 | Secure and Scalable Data Sharing in IoT Environments with Blockchain Integration
[NO] 674/698 | Blended Learning for Women's Business Development in Rural India: Enhancing Technology Adoption and Bridging the Gender Digital Divide
[NO] 675/698 | Enforcing Privacy-By-Design: A Policy-Guided Synthetic Data Generator for GenAI Workflows
[NO] 676/698 | Interactive Evolutionary Computation with User Preference Estimation Based on Gaze Information
[NO] 677/698 | Transmitter Placement Optimization Using 3D Ray Tracing and PSO in Metallic Environments
[NO] 678/698 | Optimization of Prediction Model for the Determination of Free Fatty Acid for Crude Palm Oil
[NO] 679/698 | Modelling of Hot-Spot Temperature and Loss-of-Life for Non-Thermally and Thermally Upgraded Paper in ONAN Transformer Based on IEC 60076-7
[NO] 680/698 | Solving the Brewery Problem with Object-Oriented Design
[NO] 681/698 | Title Page
[NO] 682/698 | A Novel Angle Standard Using Time Grating With an Accuracy of ±0.005${}^{\prime\prime}$
[NO] 683/698 | Model Order Reduction for Three-Dimensional Inversion of Airborne Transient Electromagnetic Data
[NO] 684/698 | AI-Native O-RAN Architectures for 6G: Towards Real-Time Adaptation, Conflict Resolution, and Efficient Resource Management
[NO] 685/698 | Indoor Experimental Trial on AI-Based Pilotless Transmission
[NO] 686/698 | Hybrid Data/Model-Driven Whole-System Admittance Identification via Single-Bus Injections
[NO] 687/698 | Performance-Enhanced Adaptive Finite-Time Accurate Control of Uncertain Hydro Turbine Governing System with External Disturbances
[NO] 688/698 | Stroke-Based Perception: Discover Novel Oracle Characters
[NO] 689/698 | A 95.86%-Effieient 48V/1.8V ZVS Voltage Regulator Based on Current Ninefold Rectifier
[NO] 690/698 | COMET: Co-Optimization of CNN Models Using Efficient-Hardware OBC Techniques
[NO] 691/698 | Parameter Estimation Based on Coupled Canonical Polyadic Decomposition for FDA-MIMO Radar With Unfolded Coprime Framework
[NO] 692/698 | Comparative Performance Evaluation of Large Language Models for Domain-Specific Web Content Extraction
[YES] 693/698 | Mitigation of SETs Under Process Variability Effects: Circuit-Level Strategies for Reliable Design
[YES] 694/698 | Fast Statistical Estimation of Circuit-Level Cross Section Considering Logical Masking Effects
[NO] 695/698 | Corrections to “Unbiased Estimation of Three-Dimensional Deformation From SAR Interferometry and GNSS Observations”
[NO] 696/698 | Multi-Channel Chitosan Coated Quartz Crystal Microbalance Device for Continuous Detection of Isopropyl Alcohol
[NO] 697/698 | Gender Inclusivity in Technology- Enhanced Teacher Education in Ghana
[NO] 698/698 | Gender Dynamics of Cyber Security Awareness in Kerala, India: Statistical and Machine Learning Approach
筛选完成：共 698 篇；Yes = 31 篇；已保存到 papers/select_paper2026-04-17.json。
邮件发送成功！
[2026-04-18 10:42:24] 任务执行成功！
