[2026-06-16 13:28:18] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[arXiv] 2026-06-15 | CrossMaps: Confidence-Aware Open-Vocabulary Semantic Mapping for Rover Navigation
[arXiv] 2026-06-15 | Neuro-Symbolic Software Verification: Hyper-charging Local Language Models with Symbolic Reasoning at Scale
[arXiv] 2026-06-15 | P3B3: A Multi-Turn Conversational Benchmark for Measuring European and Brazilian Portuguese Variety Bias in LLMs
[arXiv] 2026-06-15 | The Complexity of Bisimilarity and Model Checking in Finitary Diagrams
[arXiv] 2026-06-15 | Nodal Representations for Kernel-Based Multilevel Interpolation
[arXiv] 2026-06-15 | Elastic ODYN: Differentiable Optimization for Infeasible Control and Learning in Robotics
[arXiv] 2026-06-15 | The integral closedness of lattice simplices with large lattice length
[arXiv] 2026-06-15 | Diffractive structure functions from JIMWLK evolution
[arXiv] 2026-06-15 | On the classification of indecomposable Ekedahl-Oort strata in unitary Shimura varieties, and related Newton polygons
[arXiv] 2026-06-15 | Quantum Nonlocal Games on Graph Ensembles
[arXiv] 2026-06-15 | Self-gravitating electromagnetic waves in the dark bubble model
[arXiv] 2026-06-15 | Can Optimal Dispatch Models Recreate Reality? A Retrospective Analysis of Europe's 2022 Energy Crisis Using PyPSA-Eur
[arXiv] 2026-06-15 | Sustainable Heating with Karma: A Simulation Study of the KTH Live-In Lab
[arXiv] 2026-06-15 | Metal Oxide Clusters in Gas Giant Exoplanet Atmospheres
[arXiv] 2026-06-15 | End-to-end meta-imagers: Information-theoretic objectives and generalized focusing optima
[arXiv] 2026-06-15 | Quantitative Oppenheim Conjecture for Random Quadratic Forms and Optimal Variance Bounds in Function Fields
[arXiv] 2026-06-15 | Bounds for the ratio between the domination number and the independent domination number
[arXiv] 2026-06-15 | Reference Architecture for Metadata-driven Services to Promote Reusability in Software Systems
[arXiv] 2026-06-15 | Kinetic Theory of Cosmological Magnetogenesis at Second Order: A New Density-Gradient Source and Comparison with the Harrison Mechanism
[arXiv] 2026-06-15 | MMDiff: Extending Diffusion Transformers for Multi-Modal Generation
[arXiv] 2026-06-15 | CraBERT: Efficient Phoneme Encoder Pre-Training via Cascade Fusion of Subword Representations for Text-to-Speech
[arXiv] 2026-06-15 | Look Again Before You Abstain:Budgeted Conformal Evidence Acquisition for Reliable Vision-Language Model
[arXiv] 2026-06-15 | SCAR: Semantic Continuity-Aware Retrieval for Efficient Context Expansion in RAG
[arXiv] 2026-06-15 | Vision-Language Models as Zero-Annotation Oracles in Histopathology
[arXiv] 2026-06-15 | The CREATOR Project: Towards a Computational Electric Machine Laboratory
[arXiv] 2026-06-15 | Mapping the Design Space for Youth Social Media: A Framework Centered on Friendship Building
[arXiv] 2026-06-15 | Understanding Automated Web GUI Testing: An Empirical Study Across Exploration Strategies and State Abstractions
[arXiv] 2026-06-15 | Enhancing Secret Key Generation for UAV Communications via Codeword Reconstruction
[arXiv] 2026-06-15 | Ultrastrongly coupled open systems and fine grained time
[arXiv] 2026-06-15 | XL-ChannelDiff: An Efficient Diffusion-Based Multi-Domain Near-Field Channel Extrapolation Framework for XL-MIMO Systems
[arXiv] 2026-06-15 | Reinforcement Learning with Inner-loop Dynamics Estimator for Aerial Manipulation under Uncertainty
[arXiv] 2026-06-15 | Diffusion Flow Matching: Dimension-Improved KL Bounds and Wasserstein Guarantees
[arXiv] 2026-06-15 | Timekeeping Beyond Human Whim: A Critical Analysis of Strong Conventionalism about Clocks
[arXiv] 2026-06-15 | VeriGraph: Towards Verifiable Data-Analytic Agents
[arXiv] 2026-06-15 | DifferAD-R1: A Difference-Guided IndustrialAnomaly Localization with Multimodal LargeLanguage Models
[arXiv] 2026-06-15 | Interfacial Magnetotransport in a NiI_2/Graphene Heterostructure
[arXiv] 2026-06-15 | Infant Spontaneous Movement Noise Improves Exploration in Deep RL
[arXiv] 2026-06-15 | DRIFT: Risk-Constrained Diffusion with Imitation Priors for Mixed-Autonomy Traffic Generation
[arXiv] 2026-06-15 | Learning Interface Breakup: A Geometry-Conditioned Latent Surrogate for Spray Formation
[arXiv] 2026-06-15 | Permutation orbifolds and simple current extensions
[arXiv] 2026-06-15 | Optimizing Multiple Feature Types for Image Inpainting in the Linear and Nonlinear Setting
[arXiv] 2026-06-15 | Transformation-driven generation of comparable projection images from multimodal anatomical scenes
[arXiv] 2026-06-15 | PROSE: Training-Free Egocentric Scene Registration with Vision-Language Models
[arXiv] 2026-06-15 | Local and global well-posedness in the $L^2$-setting for the Q-tensor model in $\mathbb R^N$ and $\mathbb R^N_+$
[arXiv] 2026-06-15 | Restarted Reflected Halpern Acceleration for Augmented Primal-Dual Methods
[arXiv] 2026-06-15 | Testing the max-flow min-cut property and the replication conjecture
[arXiv] 2026-06-15 | ADAPT: Analytical Disturbance-Aware Policy Training for Humanoid Locomotion
[arXiv] 2026-06-15 | MultiMolecule: a modular ecosystem for biomolecular sequence-model workflows
[arXiv] 2026-06-15 | Generated, Parallel, Scalable? A Study of Agentic AI-Generated Julia Code on Supercomputers
[arXiv] 2026-06-15 | Higher-Order Modes Are More Robust: The Origin of Bending Insensitivity in Multimode Fibers and Its Exploitation for Imaging
[arXiv] 2026-06-15 | Quantization of Contact 3-Manifolds and the Reeb Gravitational Field
[arXiv] 2026-06-15 | Scalable Bayesian data curation for next-generation radio experiments
[arXiv] 2026-06-15 | XP-TEAL: Gaia XP tool for emission and absorption lines. I. Balmer lines in open clusters
[arXiv] 2026-06-15 | Fully Quantum Algorithm for the 1-dimensional linear Lattice Boltzmann Method
[arXiv] 2026-06-15 | Tail-Shape Estimation in LLM Evaluation Is Fragile: A Protocol for Diagnosing False Positives
[arXiv] 2026-06-15 | Post-Hoc Merging is Not Enough: Many-Shot Model Merging with Loss-Gap Balancing
[arXiv] 2026-06-15 | Lost at the End: Primacy Bias in Multimodal Retrieval-Augmented Question Answering
[arXiv] 2026-06-15 | Robots that Collaborate: Sequential Asymmetric Imitation for Learning Coupled Robot Policies
[arXiv] 2026-06-15 | Robust Koopman MPC with Sets Updates for Time Delayed Systems
[arXiv] 2026-06-15 | Unified Multimodal Model for Brain MRI Imputation and Understanding
[arXiv] 2026-06-15 | Geometric decomposition of the $d$-dimensional hard-sphere partition function
[arXiv] 2026-06-15 | Tensor-Coord: Algebraic Decomposition of Joint Plan Tensors for Conflict-Free Multi-Agent LLM Planning
[arXiv] 2026-06-15 | MVOFormer: Flow-Semantic Transformer for Robust Monocular Visual Odometry
[arXiv] 2026-06-15 | From Awareness to Adherence: Bridging the Context Gap in Spoken Dialogue Systems via Context-Aware Decoding
[arXiv] 2026-06-15 | Decoupled Object-Centric Video Understanding for Generating Robotic Manipulation Commands
[arXiv] 2026-06-15 | When Agent Automation Becomes Profitable: Quantifying and Insuring Autonomous AI Risk through Trace-Economic Underwriting
[arXiv] 2026-06-15 | SPRI: SVD-Partitioned Residual Initialization for Data-Constrained MoE Upcycling
[arXiv] 2026-06-15 | The capability of CSST in characterizing planetary atmospheres. I. transmission spectroscopy of hot Jupiters
[arXiv] 2026-06-15 | Persistence Properties of a Phase-ordering System with Competing Dynamics
[arXiv] 2026-06-15 | V2P-Manip: Learning Dexterous Manipulation from Monocular Human Videos
[arXiv] 2026-06-15 | Unified Audio Generation and Editing via Joint Condition Modeling and Progressive Training
[arXiv] 2026-06-15 | Autonomous End-to-End SOH Prediction Services for Battery Systems via Temporal-Contrastive Representation Learning
[arXiv] 2026-06-15 | Chiral-odd structure of the $N \to Δ$ transition: tensor form factors from QCD light-cone sum rules
[arXiv] 2026-06-15 | Right representations of Novikov algebras
[arXiv] 2026-06-15 | Twistronic control of shift current in multilayer moiré system
[arXiv] 2026-06-15 | Not all Jensen-Shannon Divergence Estimators are Equal
[arXiv] 2026-06-15 | Direct Nanoscale Pyroelectric Characterization of a CuInP${}_2$S${}_6$ van der Waals Nanogenerator
[arXiv] 2026-06-15 | A Mechanistic Understanding of Pronoun Fidelity in LLMs
[arXiv] 2026-06-15 | Elliptic Harnack inequality and Poincaré inequality for $p$-energies on metric measure spaces
[arXiv] 2026-06-15 | Indivisibility of ray class groups of real quadratic fields
[arXiv] 2026-06-15 | Convergence-Symmetric Metric Spaces
[arXiv] 2026-06-15 | Non-Equilibrium Model Selection via Finite-Time Thermodynamics
[arXiv] 2026-06-15 | Quantum oscillations in proximity to high-angular-momentum band inversion
[arXiv] 2026-06-15 | MPX: A Unified Systolic Array for Matrix and Polynomial Multiplication
[arXiv] 2026-06-15 | Towards UAV Image Dehazing: A UAV Atmospheric Scattering Model, Benchmark, and Geometry-Aware Deep Unfolding Network
[arXiv] 2026-06-15 | Engine position effects on contrail evolution for a realistic aircraft configuration
[arXiv] 2026-06-15 | Game-Theoretic Multi-Agent Reinforcement Learning for Swarm Trajectory Planning in Low-Altitude Wireless Networks
[arXiv] 2026-06-15 | Melt-Quench Failures and Practical Solutions for Universal Machine-Learning Interatomic Potentials in Amorphous Structure Generation
[arXiv] 2026-06-15 | Mixtures of Subspaces for Bandwidth Efficient Context Parallel Training
[arXiv] 2026-06-15 | Scalable and Interpretable Representation Alignment with Ordinal Similarity
[arXiv] 2026-06-15 | Segregated solutions of a degenerate cross-diffusion system with drifts
[arXiv] 2026-06-15 | Optomechanical parametric control of mid-infrared photons via molecular vibrational polariton
[arXiv] 2026-06-15 | Looking Is Not Picking: An Attention-Segment Account of Tool-Selection Failures in LLM Agents
[arXiv] 2026-06-15 | Monoidal categorification of generalized cluster algebras and conjectures of Fraser and Gleitz
[arXiv] 2026-06-15 | Simulation-Augmented Multi-Step Split Conformal Prediction for Aggregated Forecasts
[arXiv] 2026-06-15 | What Should a Streaming Video Model Remember?
[arXiv] 2026-06-15 | Optical Variability as a Probe of Hidden Nuclear Activity in Type 2 AGNs
[arXiv] 2026-06-15 | AdaSTORM: Scaling LLM Reasoning on Dynamic Graphs via Adaptive Spatio-Temporal Multi-Agent Collaboration
[arXiv] 2026-06-15 | Foundations of entropy in complex systems
[arXiv] 2026-06-15 | QK-Normed MLA: QK normalization without full key caching
[arXiv] 2026-06-15 | Physics-Informed Sensitivity Analysis for Enhanced Structural Health Assessment: Test-Case for a Mixed Steel-Concrete Bridge
[arXiv] 2026-06-15 | Extended Kalman Filter-Based State Estimation for a Nine-Compartment Nonlinear Epidemic Model -- Convergence Analysis and In-Silico Benchmark Calibrated on the COVID-19 Third Wave in Italy
[arXiv] 2026-06-15 | Groups of Dwarf Galaxies in the Local Universe
[arXiv] 2026-06-15 | DDTNet: Degradation Disentanglement and Transfer Network for Test-Time All-in-One De-weathering Adaptation
[arXiv] 2026-06-15 | Tomography of the gamma-ray sky from cross-correlation with DESI DR2 and unWISE galaxies
[arXiv] 2026-06-15 | An affordable hardware-aware neural architecture search for deploying convolutional neural networks on ultra-low-power computing platforms
[arXiv] 2026-06-15 | Revisiting Trade-sign Long-memory and Square-root Law price impact
[arXiv] 2026-06-15 | Dynamically suppressed lattice rotations in SrTiO$_3$ as a basis for photo-induced ferroelectricity
[arXiv] 2026-06-15 | Wavelength-Multiplexed 2D Beam Steering via a Passive Diffractive Network
[arXiv] 2026-06-15 | Tuning superconductivity and charge density wave order by next-nearest-neighbor hopping integral in honeycomb Holstein model
[arXiv] 2026-06-15 | LiFT: Local Search via Linear Programming for Overfitting-Controlled Transformers
[arXiv] 2026-06-15 | Interfacial control of magnetism and electron transport in nonisostructural SrRuO$_3$/SrCuO$_2$ heterostructure
[arXiv] 2026-06-15 | Propagating Structural Guidance: Synthesizing Fluorescein Angiography from Fundus Images and Sparse OCT Scans
[arXiv] 2026-06-15 | PolyMerge: Compressing 3D Gaussian Splats with Polytope Coverings for Provably Safe Resource-Constrained Navigation
[arXiv] 2026-06-15 | Prediction of Runtime Parameters of Parallel Chemistry Applications via Active and Generative Learning
[arXiv] 2026-06-15 | PACT: Privileged Trace Co-Training for Multi-Turn Tool-Use Agents
[arXiv] 2026-06-15 | DynFS-MoE: Dynamic Functional-Structural Mixture-of-Experts for Post-Traumatic Epilepsy Diagnosis
[arXiv] 2026-06-15 | teasr: training-efficient any-step diffusion transformer for real-world image super-resolution
[arXiv] 2026-06-15 | MOSAIC: Mobile Object Segmentation under Adverse Imaging Conditions for Rapid L-PBF Keyhole Behavior Characterization
[arXiv] 2026-06-15 | Fi-Gaussian: Frequency-Aware Implicit Gaussian Splatting for Single Image Dehazing
[arXiv] 2026-06-15 | Dehaze-GaussianImage: Zero-Shot Dehazing via Efficient 2D Gaussian Splatting Representation
[arXiv] 2026-06-15 | Binary Decompilation LLM with Feedback-Driven Multi-Turn Refinement
[arXiv] 2026-06-15 | Staggered Virtual-Loop-Current Order in Pseudospin-1 Dirac Flat Bands
[arXiv] 2026-06-15 | LiteOdyssey: A Lightweight Reasoning AI Agent for Interpretable Rare-Disease Diagnosis
[arXiv] 2026-06-15 | When Proofs Meet Hardware: Comparing NTT and SumCheck in Zero-Knowledge Systems
[arXiv] 2026-06-15 | Neural Network-Enabled Codebook Design for Phased Array Calibration with Arbitrary Array Sizes
[arXiv] 2026-06-15 | Shift-and-Sum Quantization for Visual Autoregressive Models
[arXiv] 2026-06-15 | Physics-guided residual correction of $α$-decay half-lives based on the effective liquid drop model
[arXiv] 2026-06-15 | Quasinormal Modes and Hawking Radiation of Black Holes with Primary Scalar Hair
[arXiv] 2026-06-15 | Training-Free Open-Vocabulary Visual Grounding for Remote Sensing Images and Videos
[arXiv] 2026-06-15 | Spatiotemporal Tracking of Optical Speckles in Turbulent Atmospheric Propagation
[arXiv] 2026-06-15 | Thinking with Visual Grounding
[arXiv] 2026-06-15 | Know Your Limits : On the Faithfulness of LLMs as Solvers and Autoformalizers in Legal Reasoning
[arXiv] 2026-06-15 | The number of cycles of a given length in dense hamiltonian graphs: proving Hilton's conjecture
[arXiv] 2026-06-15 | Towards Pareto-Optimal Tool-Integrated Agents with Pareto Ranking Policy Optimization
[arXiv] 2026-06-15 | Optically Active Fractional Wannier-Center Displacement Drives Giant Second-Harmonic Generation
[arXiv] 2026-06-15 | Direct Observations of Magnetic Reconnection in the Solar Wind Current Sheets near Mars
[arXiv] 2026-06-15 | SceneCraft: Interactive System for Image Editing via Scene Graph
[arXiv] 2026-06-15 | Enhancing Quantum Machine Learning with Anyons
[arXiv] 2026-06-15 | Eyring-Kramers asymptotics for infinite-dimensional stochastic gradient systems
[arXiv] 2026-06-15 | Polynomial-Time Mistake-Bounded Language Generation
[arXiv] 2026-06-15 | MASCOT-Android: A Curated Dataset and Automated Collection Pipeline for Android Malware Source Code Specimens
[arXiv] 2026-06-15 | Self-Adjointness of the Standard Model of Non-Relativistic QED
[arXiv] 2026-06-15 | A Unified Causal-Origin Taxonomy of Distributional Shifts in Reinforcement Learning
[arXiv] 2026-06-15 | Functional Gradient Descent with Adaptive Representations
[arXiv] 2026-06-15 | RAID: Semantic Graph Diffusion for True Cold-Start and Cross-Lingual Forecasting
[arXiv] 2026-06-15 | Graph Neural Networks Trained on Null Signal for Angle Reconstruction in X-ray Polarimetry
[arXiv] 2026-06-15 | Demystifying Variance in Circuit Discovery of LLMs
[arXiv] 2026-06-15 | Complex Quaternions and Superminimal Surfaces in Four-Space
[arXiv] 2026-06-15 | Optimal Multiscale Learning of Linear Operators
[arXiv] 2026-06-15 | Fixed-quadrupole static tidal response of Schwarzschild black holes in a cubic Weyl effective field theory
[arXiv] 2026-06-15 | LESS Is More: Mutual-Stability Sampling for Diffusion Language Models
