[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[IEEE] 2025-11-21 | Interpolation of Quantum Polar Codes and Quantum Reed-Muller Codes
[IEEE] 2025-11-21 | Design and Control Strategy of Bionic Crawling Pipe Inspection Robot
[IEEE] 2025-11-21 | Discrete Age Analysis of Ber/G/1/1 Queues: Exact Expressions and Optimization
[IEEE] 2025-11-21 | Model Density Group Framework for Next Generation Wireless Networks
[IEEE] 2025-11-21 | A General Construction of the Transfer Matrices of (k, N + t)-Sum Boxes
[IEEE] 2025-11-21 | Deep Learning-Based Direction of Arrival Estimation for Underwater Acoustic Sources Using BPSK Signals and Multiple Array Geometries
[IEEE] 2025-11-21 | Preliminary Insights into Cluster-Based Estuarine Prediction Using Machine Learning
[IEEE] 2025-11-21 | Reliability and Security Analysis of Power Beacon Based Half-Duplex Relaying System With Hardware Impairments
[IEEE] 2025-11-21 | Secure Broadcasting under Unreliable Cooperation
[IEEE] 2025-11-21 | RDD Function: A Tradeoff Between Rate and Distortion-in-Distortion
[IEEE] 2025-11-21 | A Fault Diagnosis Method for UAV Propulsion Systems Based on PCA and PSO-Optimized SVM
[IEEE] 2025-11-21 | Underwater Inspection Platform for Vision-Based Biodiversity Identification
[IEEE] 2025-11-21 | Experimental and Numerical Investigations of Bypass Dual-Throat Nozzle with Asymmetric Rear Configuration
[IEEE] 2025-11-21 | Are Action Cameras the New Witness? A Forensic Examination of GoPro HERO13 and Quik App Data on Android and iOS
[IEEE] 2025-11-21 | Research on Decision Model of Civil Aircraft Flight Test Project Planning Based on Preference Criteria
[IEEE] 2025-11-21 | Residual Stress of Autofrettage Barrel After Machine Process and its Influence on Barrel Stress Distribution
[IEEE] 2025-11-21 | Android Malware Classification Based on Graph Features and Graph Neural Networks
[ACM] 2025-11-21 | Poster: Uncovering Lesser-Studied RTC Applications using RTP
[ACM] 2025-11-21 | Poster: Efficient Geometry Compression and Communication for 3D Gaussian Splatting Point Clouds
[ACM] 2025-11-21 | Demo: WasmSD-Edge: A Lightweight Edge Stable Diffusion Image Generation Framework Based on WebAssembly
[ACM] 2025-11-21 | LoRaSeek: Boosting Denoising Ability in Neural-enhanced LoRa Decoder via Hierarchical Feature Extraction
[ACM] 2025-11-21 | Automated, Cross-Layer Root Cause Analysis of 5G Video-Conferencing Quality Degradation
[ACM] 2025-11-21 | DD-LIVM: Pioneering Cross-Domain Photovoltaic Defect Detection Using Large Infrared-Visible Model
[ACM] 2025-11-21 | Vega: Fully Immersive Mobile Volumetric Video Streaming with 3D Gaussian Splatting
[ACM] 2025-11-21 | Wireless Hearables With Programmable Speech AI Accelerators
[ACM] 2025-11-21 | mmTremor: Practical Tremor Monitoring for Parkinson's Disease and Essential Tremor in Daily Life
[IEEE] 2025-11-21 | Table of Contents
[IEEE] 2025-11-21 | WDCANet: A Wavelet-Driven Category-Aware Network for High-Resolution Remote Sensing Image Semantic Segmentation
[IEEE] 2025-11-21 | Holographic Counterpart Modeling of Wearable IoT Data for Forensic Timeline Reconstruction and Custodial Monitoring
[IEEE] 2025-11-21 | Understanding the Effect of Latency on User Performance of Target Selection in Virtual Reality
[IEEE] 2025-11-21 | LaPDA: Latent-Space Point Cloud Denoising With Adaptivity
[IEEE] 2025-11-21 | Three-Phase Dynamic Phasor Modeling of Line Commutated Converter with Harmonics
[IEEE] 2025-11-21 | Data Augmentation Via Digital Twins to Develop Personalized Deep Learning Glucose Prediction Algorithms for Type 1 Diabetes in Poor Data Context
[IEEE] 2025-11-21 | Diagnosis of Inter-Turn Short-Circuit Fault in Five-Phase PMSM Based on Positive and Negative Sequence Components
[IEEE] 2025-11-21 | SageCopilot: an LLM-empowered Autonomous Agent for Data Science as a Service
[IEEE] 2025-11-21 | SeqFedEDT: Accelerating Sequential Federated Learning on non-IID Data via Element-wise Decoupled Training
[IEEE] 2025-11-21 | A Holistic Framework for Cyber Attack Detection, Classification, and Security Enhancement of DNP3 Protocol in Smart Grids
[IEEE] 2025-11-21 | Mixed Platoon Control Under Noise and Attacks: Robust Data-Driven Predictive Control and Human-in-the-Loop Validation
[IEEE] 2025-11-21 | DSDFormer: An Innovative Transformer-Mamba Framework for Robust High-Precision Driver Distraction Identification
[IEEE] 2025-11-21 | Design and Development of a Robot-Assisted in Situ Bioprinting System With Optical Tracking
[IEEE] 2025-11-21 | Caformer: Rethinking Time-Series Forecasting From Causal Perspective
[IEEE] 2025-11-21 | EmoBridge: Aligning Speech and Language for Emotion Recognition via Q-Former
[IEEE] 2025-11-21 | Enhancing Security and Privacy in Multi-Server Federated Learning_supp1-3627244.pdf
[IEEE] 2025-11-21 | A Stable Model Reference Adaptive Controller Developed for a Prosthetic Hand Wrist_supp1-3634193.mp4
[IEEE] 2025-11-21 | Moisture Independent Measurement of Solid Concentration in Gas-Solid Flows Using Dual-Frequency Dipole Antennas
[IEEE] 2025-11-21 | BioVIEW: Automatic Remote Nondestructive Platform for Biodiversity Evaluation
[IEEE] 2025-11-21 | Uniquely Decodable Signature Sequences Over the Noisy Adder Channel
[IEEE] 2025-11-21 | A Hybrid Classification Approach for Shoreline Detection from Sentinel-2 Data
[IEEE] 2025-11-21 | Directional Correction Capability Analysis of Aircraft Nose Wheel Steering During Takeoff Roll under Asymmetric Thrust
[IEEE] 2025-11-21 | Efficient Construction of MRD Codes Based on Circular-Shift Operations
[IEEE] 2025-11-21 | Estimating Mixture Distributions via Stochastic Mirror Descent
[IEEE] 2025-11-21 | Research on the Response of High-Speed Water Entry Structure of Clamp Connected Vehicle
[IEEE] 2025-11-21 | Brain Fingerprinting: A signal processing perspective
[IEEE] 2025-11-21 | Universal Rate-Distortion-Classification Representations for Lossy Compression
[IEEE] 2025-11-21 | An assessment of ICESat-2 Sea Surface Height dataset for the Ligurian Sea
[IEEE] 2025-11-21 | Comparing Synthetic and Authentic Network Traffic: A Case Study
[ACM] 2025-11-21 | Modality Plug-and-Play: Runtime Modality Adaptation in LLM-Driven Autonomous Mobile Systems
[ACM] 2025-11-21 | Poster: Home-based, On-Device, Non-contact Sleep Staging with Infrared Video
[ACM] 2025-11-21 | DragonFly: Single mmWave Radar 3D Localization of Highly Dynamic Tags in GPS-Denied Environments
[ACM] 2025-11-21 | Poster: iHead: A Head-Mounted Individual Monitoring and Finding System Based on Internet of Things Technologies
[ACM] 2025-11-21 | Poster: FedFNS: A Robust Federated Learning Method for Data Shift over Unreliable Communication Links
[ACM] 2025-11-21 | Poster: PanoGlass: Optically Transparent Panoramic Metasurface for Sub-6 GHz Network
[ACM] 2025-11-21 | Poster: Electrical impedance tomography using a hybrid PINN–ViT model for low-power healthcare systems
[ACM] 2025-11-21 | μCeiver-Fi: Exploiting Spectrum Resources of Multi-Link Receiver for Fine-Granularity Wi-Fi Sensing
[ACM] 2025-11-21 | Demo: ASIC-based Concurrent Backscatter Networks
[ACM] 2025-11-21 | Poster: ChronoBite: Diet Meets Cellular Aging
[ACM] 2025-11-21 | R&amp;E Routing Policy: Inference and Implication
[IEEE] 2025-11-21 | ITW 2025 Welcome
[IEEE] 2025-11-21 | Note: Scoring Conformance to Volatile Requirements
[IEEE] 2025-11-21 | Location-Prior-Aided Grant-Free Detection in Satellite IoT Networks: A Hierarchical Cooperative Architecture with Spatial Correlation
[IEEE] 2025-11-21 | F-Hash: Feature-Based Hash Design for Time-Varying Volume Visualization via Multi-Resolution Tesseract Encoding_supp1-3634812.mp4
[IEEE] 2025-11-21 | Investigation of Enhanced Large-Signal Impulse Amplification in a Wideband TWT
[IEEE] 2025-11-21 | Design and Performance Research of a Variable-Phase Brushless Compensated Pulse Alternator Based on Field Modulation Rotor
[IEEE] 2025-11-21 | <i>Conch</i>
                    :
                    <u>Co</u>
                    mpetitive Debate A
                    <u>n</u>
                    alysis via Visualizing
                    <u>C</u>
                    lash Points and
                    <u>H</u>
                    ierarchical Strategies
[IEEE] 2025-11-21 | Challenges and Advances of Power System Protection in Inverter-Based Isolated Microgrids: A Review
[IEEE] 2025-11-21 | Analysis of Unavailability in Middleboxes With Double-Capacity Multiple Backup Servers Under Shared Protection
[IEEE] 2025-11-21 | Digital Predistortion for Wideband Millimeter Wave Full-Digital Full-connected Multibeam Array under Constraint Bandwidth
[IEEE] 2025-11-21 | Low-complexity Non-coherent MOCZ Detection Based on the Genetic Algorithm for Short-Packet Communication
[IEEE] 2025-11-21 | AFLoc: A Deep Learning Indoor Localization Method With Trainable Activation Functions
[IEEE] 2025-11-21 | Chaos Synchronization and Decryption in Electro-Optic Chaotic Systems Using GRU Neural Networks
[IEEE] 2025-11-21 | Tailoring fluxgate sensor performance with integrated magnetic flux concentrators and grooved gratings
[IEEE] 2025-11-21 | Joint Pilot and Data Transmission Design for Grant-Free Random Access in Cell-Free Massive MIMO With Ricean Fading
[IEEE] 2025-11-21 | Multi-Mapcher: Loop Closure Detection-Free Heterogeneous LiDAR Multi-Session SLAM Leveraging Outlier-Robust Registration for Autonomous Vehicles
[IEEE] 2025-11-21 | Value of Multi-pursuer Single-evader Pursuit-evasion Game with Terminal Cost of Evader's Position: Relaxation of Convexity Condition_supp1-3629011.pdf
[IEEE] 2025-11-21 | Switchable and Tunable Multifunctional Metamaterial Enabled by Hybrid Integration of Active Device and Microfluidic Liquid Metal
[IEEE] 2025-11-21 | Numerical Study on Screening Current Induced Stress of Dry-Wound HTS Racetrack Coil
[IEEE] 2025-11-21 | A Novel High Gain Non-Isolated Quasi Z-Source DC-DC Converter with Symmetric Bipolar Outputs
[IEEE] 2025-11-21 | Implementation of Machine - Learning Models to study Habitat Suitability for Deep-Diving Cetaceans in the Ikarian Basin
[IEEE] 2025-11-21 | Stochastic Updating in Federated Learning
[IEEE] 2025-11-21 | AI-Driven Detection of Potato Leaf Diseases and Yield Optimization
[IEEE] 2025-11-21 | Trusted vs. Untrusted 5G Non-3GPP Access: A Comparative Study on Performance and Security
[IEEE] 2025-11-21 | High resolution Imaging of Surface Currents and Wind fields over lakes: a case study from Lake Garda, Italy
[IEEE] 2025-11-21 | A Comparison of Numerical Integration Algorithms for Flexible Variable-Length Cable Multibody Dynamics
[IEEE] 2025-11-21 | Evaluation of a Multi-Modal Wake Detection Framework Using Satellite Data
[IEEE] 2025-11-21 | Comparative Analysis of Experimental Methodology in RF-Based Drone Detection and Classification Datasets
[IEEE] 2025-11-21 | Enhancing Energy Efficient Task Caching and Offloading in Mobile Edge Computing
[IEEE] 2025-11-21 | A Formal Model for Path Set Attribute Calculation in Network Systems
[IEEE] 2025-11-21 | A single SAR image-based approach to analyse the dynamics of Terra Nova Bay polynya
[IEEE] 2025-11-21 | Experimental Investigation on Self-Excited Tangential Combustion Instability of Shear Injector
[ACM] 2025-11-21 | AquaScan: A Sonar-based Underwater Sensing System for Human Activity Monitoring
[ACM] 2025-11-21 | WDNN: Weighted Diffractive Neural Network for Physical-layer RF Signal Processing
[ACM] 2025-11-21 | Bridge: Enabling BLE Direction Finding Feature Compatible with All Bluetooth Devices
[ACM] 2025-11-21 | Demo: Networked iGYM for AR Exergames
[ACM] 2025-11-21 | Demo: PP-AICloud for Edge-Assisted Privacy-Preserving AI Inference with Homomorphic Encryption in Cloud-Based Mobile Services
[ACM] 2025-11-21 | Poster: Collection and Sharing of A Residential Dataset
[IEEE] 2025-11-21 | ISNCC 2025 Cover Page
[IEEE] 2025-11-21 | Multi-Modal Multi-Task (M3T) Federated Foundation Models for Embodied AI: Potentials and Challenges for Edge Integration
[IEEE] 2025-11-21 | Unlocking Potential in LEO Satellites Communications Through Spatial Modulation and Space Shift Keying
[IEEE] 2025-11-21 | Studies on Superconducting Performance of Ultra-fine strand Nb
                    <sub>3</sub>
                    Al cable fabricated by React &amp; Wind method in Solenoid Coil
[IEEE] 2025-11-21 | LM-VINS: A Robust and Computationally Efficient Visual-Inertial Navigation System for Loitering Munitions
[IEEE] 2025-11-21 | Spatiotemporal Satellite-to-Ground Scheduling Strategy for Maximizing the Network Transmission Capacity
[IEEE] 2025-11-21 | Table of Contents
[IEEE] 2025-11-21 | Hierarchical Adaptive Self Attention Guided Ensemble Band Selection Approach for Remote Sensing Land Use Land Cover Classification
[IEEE] 2025-11-21 | SPTPCA: Structure-Preserving Tensor Principal Component Analysis for Hyperspectral Dimensionality Reduction
[IEEE] 2025-11-21 | MDSNet: Localization for EV charging inlet with deep learning
[IEEE] 2025-11-21 | Learning Uniform Hyperspherical Centers for Open and Closed Set Recognition
[IEEE] 2025-11-21 | 2025 Index IEEE Nanotechnology Magazine
[IEEE] 2025-11-21 | Visual Extraction of Interaction Patterns Guided by Hierarchical Clustering and Process Mining_supp1-3634837.mp4
[IEEE] 2025-11-21 | Learning to Incentivize: LLM-Empowered Contract for AIGC Offloading in Teleoperation
[IEEE] 2025-11-21 | A Performance Model for Disintegrated Manycores
[IEEE] 2025-11-21 | Deep Transfer Reinforcement Learning Based Exploration Enhanced Multi-UAV Trajectory Planning
[IEEE] 2025-11-21 | VCRIS 2025 TOC
[IEEE] 2025-11-21 | ISNCC 2025 Content Announcement Page
[IEEE] 2025-11-21 | Method and System Including Replication Agent Instances for Maintenance of Metadata in the Multidatabase System
[IEEE] 2025-11-21 | Numerical Study on High-Speed Water Entry of Vehicle Based on Structured Arbitrary Lagrangian-Eulerian Method
[IEEE] 2025-11-21 | Class-Based Expurgation Attains Csiszár’s Expurgated Source-Channel Exponent
[IEEE] 2025-11-21 | Deployment Of key Determinants Of Industry 5.0 To Enhance The Production Sector
[IEEE] 2025-11-21 | Radarsat Constellation Mission compact-polarimetric SAR imagery to observe coastal areas
[IEEE] 2025-11-21 | Cooperative Jamming based on Replica Burst Signals against Early Warning Radar with SLB and SLC
[IEEE] 2025-11-21 | Numerical Simulation Study on the Transcritical Injection Process of Cryogenic Fluids
[IEEE] 2025-11-21 | Energy Window-Constrained Guidance Strategy for Ascent Phase of Combined-Cycle Vehicles with Thrust Trap Mitigation
[IEEE] 2025-11-21 | Synthetic Data for Network Optimization Deployment
[IEEE] 2025-11-21 | Round-Preserving Asymptotic Compression of Prior-Free Interactive Protocols
[IEEE] 2025-11-21 | Robot Operating System (ROS) talks underwater: an open-source communication middleware to control underwater vehicles
[IEEE] 2025-11-21 | Innovative Marine Robotic Technologies for Coastal Hazard Monitoring and Climate Adaptation Strategies
[IEEE] 2025-11-21 | On Securing Berrut Approximated Coded Computing Through Discrete Cosine Transforms
[IEEE] 2025-11-21 | A Gliding Phase Predictor-Corrector Guidance Method Based on Drag Acceleration Profile
[IEEE] 2025-11-21 | Validation of SeaWinds-Derived Winds Against Coastal Buoys
[IEEE] 2025-11-21 | Tracking Coastal Change along Pakistan’s Shoreline Using Remote Sensing and Machine Learning
[IEEE] 2025-11-21 | A High Reflective Surface Measurement Method Based on Line Structured Light
[ACM] 2025-11-21 | Demo: Immersive Digital Twin Networks for Industrial Internet of Things
[ACM] 2025-11-21 | Elastic On-Device LLM Service
[ACM] 2025-11-21 | Poster: VI-Planning: Infrastructure-Assisted Real-Time Planning Optimization for Autonomous Driving
[ACM] 2025-11-21 | Poster: An LLM-Assisted IoT Agent System for Heterogeneous User Tasks
[ACM] 2025-11-21 | Demo: VisibleBits: Illuminating Mixed Reality with Li-Fi Information Spotlights
[ACM] 2025-11-21 | An In-Depth Look into 5G ON-OFF Loops in the Wild
[ACM] 2025-11-21 | Poster: Forwarding Score: A New Metric for Assessing the Quality of Internet Route Surveys
[ACM] 2025-11-21 | Replication: A Two Decade Review of Policy Atoms - Tracing the Evolution of AS Path Sharing Prefixes
[IEEE] 2025-11-21 | Degradation Analysis of InAlN/GaN Transistors Under Simulated Venus Surface Conditions
[IEEE] 2025-11-21 | Room-Temperature-Deposited, Nanometer-Thin Indium-Tin-Oxide for 1-V Operated Thin-Film Transistors
