[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[IEEE] 2026-8-26 | SAR-IEID-Net: Integrated SAR Enhanced Imaging and Vehicle Detection of Automotive Millimeter-Wave Radar
[IEEE] 2026-8-26 | Profiling Neural Network Partitioning Strategies for Inference across the Computing Continuum
[IEEE] 2026-8-26 | When New Attacks Emerge: Adaptive Intrusion Detection Systems for IoMT
[IEEE] 2026-8-26 | Enhanced Series Capacitor Protection Model for Phasor-Domain Transient Simulations
[IEEE] 2026-8-26 | Incomplete Multi-view Sequential Representation Learning with Cascaded Cross-view Evolution Attention
[IEEE] 2026-8-26 | Step-by-Step: Per-Timestep Adaptive Bitwidth Search for Diffusion Model Quantization
[IEEE] 2026-8-26 | IWQoS 2026 Cover Page
[IEEE] 2026-8-26 | UbiWhite-Plus: Non-Invasive White Blood Cell Subtypes Monitoring Using Microscopic Images
[IEEE] 2026-8-26 | Dual-Sketch: A Route-Oblivious Framework for Distributed Sparse Superspreader Detection
[IEEE] 2026-8-26 | Utility-Based Task Placement for Sustainable Anomaly Detection in IoT Edge-Cloud Architectures
[IEEE] 2026-8-26 | StarRound: An Efficient Multiple Geographic Region-Avoidance Mechanism for High Dynamic LEO Satellite Networks
[IEEE] 2026-8-26 | TD-RCA: Topology-Aware and Dual-Perspective Decoupling for Root Cause Analysis in Microservices
[IEEE] 2026-8-26 | A Study on Test Coverage Mapping and Release Risk Prediction in Continuous Delivery of Cloud Services
[IEEE] 2026-8-26 | A Model-Driven Deep Neural Network for Simultaneous Low-Light Image Enhancement and Deblurring
[IEEE] 2026-8-26 | Oblivious Routing for Networks with Dual Uncertainties in Demand and Capacity
[IEEE] 2026-8-26 | Distributed State Estimation and Fault-Resilient Strategy for Safe Autonomous Driving under Multisensor Faults
[IEEE] 2026-8-26 | Doppler-Aware Temporal Transformer for Link Degradation Diagnosis in LEO Satellite Communications
[IEEE] 2026-8-26 | A Structure-Collaborative Distributed Dictionary Learning Framework for Plant-Wide Monitoring
[IEEE] 2026-8-26 | Formal Trajectory Analysis for Testing Agentic AI in Stateful Environments
[IEEE] 2026-8-26 | HeraClass: Towards Open-World Network Flow Classification via Traffic-Language Mapping
[IEEE] 2026-8-26 | Asymmetric Cross-Modal Hashing with Missing-Modality Feature Compensation for Remote Sensing Image Retrieval
[IEEE] 2026-8-26 | Copyright Page
[IEEE] 2026-8-26 | Table of Contents
[IEEE] 2026-8-26 | Performative Empathy vs. Authentic Support: Benchmarking LLM Counselling Alignment for Digital Mental Health
[IEEE] 2026-8-26 | Imbalanced Data Modeling and Model Fusion Method for Facial Age Estimation
[IEEE] 2026-8-26 | Step-Sensitive Multi-Source Carbon Price Forecasting with Structured Cross-Market Attention
[IEEE] 2026-8-26 | Prediction-based Server Selection for Latency-Sensitive Inference on CPU-Based Edge Servers under Containerized Contention
[IEEE] 2026-8-26 | A Review of Embedded Vein Visualization and Hyperglycemia Prediction Systems
[IEEE] 2026-8-26 | Robust Distributed Estimation via Equalization-Consistent Soft-Weighting for Mitigating Wireless Link Impairments
[IEEE] 2026-8-26 | Desi: Revisiting Signature Verification in Blockchain-based Storage System
[IEEE] 2026-8-26 | Table of Contents
[IEEE] 2026-8-26 | Perceptions of Generative AI-Assisted Assignment Completion Among College Students: A Sentiment Analysis and LDA Topic Modeling Study Based on Zhihu Platform
[IEEE] 2026-8-26 | A 5G-Enabled Edge Computing Framework for NLP-Based Urban Event Detection in Smart Cities
[IEEE] 2026-8-26 | Deep Learning-Driven Joint Antenna Selection for MIMO Systems: Optimizing Capacity and Gain via Improved ResNet
[IEEE] 2026-8-26 | Fusion of Neural Network Risk Perception and Improved A* for Urban Low-Altitude UAV Path Planning
[IEEE] 2026-8-26 | Beagle: Auto-tuning Performance Diagnosis for Live Video Streaming
[IEEE] 2026-8-26 | Optimizing Privacy-Preserving Multi-Center Bi-Objective Task Assignment in Spatial Crowdsourcing_supp1-3727237.pdf
[IEEE] 2026-8-26 | SAM-STIR: Detection-Guided Memory Update for SAM 3-Based Infrared Small and Tiny Object Tracking_supp1-3727125.pdf
[IEEE] 2026-8-26 | E2E-LOAD++: End-to-end Long-form Online Action Detection and Beyond
[IEEE] 2026-8-26 | RF Stress-Induced Degradation Characteristics and Mechanism Analysis of AlGaN/GaN HEMTs at Different Compression Points
[IEEE] 2026-8-26 | Comparison of CP and ZP Guard Interval Schemes for OFDM over Rayleigh Fading Channels with Various Receiving Strategies
[IEEE] 2026-8-26 | Enhancing Safety Limits in Emergency Collision Avoidance for Distributed-Drive Electric Vehicles: Drifting Strategy and Comparative Analysis
[IEEE] 2026-8-26 | Lightweight Machine Learning Framework for QoS-Aware OneM2M Deployments at the Edge
[IEEE] 2026-8-26 | Improving Robustness of Semantic Segmentation for Autonomous Driving: A Case Study
[IEEE] 2026-8-26 | Half Title Page
[IEEE] 2026-8-26 | IEEE Transactions on Sustainable Computing
[IEEE] 2026-8-26 | GBNN: In-Network Gradient Boosting Neural Network
[IEEE] 2026-8-26 | Multi-Agent Reinforcement Learning for Handover Management and Power Allocation in LEO Satellite Networks
[IEEE] 2026-8-26 | A RAG approach for assisting testers in database query testing
[IEEE] 2026-8-26 | LGG-ResUNet:A Local-Global and Geometry-aware Network for Remote Sensing Building Segmentation
[IEEE] 2026-8-26 | 2026 IEEE/ACM International Symposium on Quality of Service (IWQoS)
[IEEE] 2026-8-26 | PID-Compatible Compensation for Containerized Wireless Industrial Control Under Timing Uncertainty
[IEEE] 2026-8-26 | MACH: A Matrix-Accelerated Classifier for High-throughput Packet Processing on GPUs
[IEEE] 2026-8-26 | Toward Human-Centered Interaction: Knowledge-Guided Contrastive Learning for Social Behavior Understanding
[IEEE] 2026-8-26 | Impact of Market Reforms on Deterministic Frequency Deviations in the European Power Grid
[IEEE] 2026-8-26 | Value Capture Dynamics in Open Source
[IEEE] 2026-8-26 | TopoCog: EEG Sensor-Based Cognitive State Recognition in Interactive Environments using Topological Data Analysis_supp1-3727329.pdf
[IEEE] 2026-8-26 | Semantic and Task-Oriented V2X Communication for Connected and Automated Vehicles: A Comprehensive Review
[IEEE] 2026-8-26 | Low-Complexity Channel Estimation for LEO-OTFS Systems Based on CE-BEM and GSBL
[IEEE] 2026-8-26 | MUSIC-CAR: A Multi-Label Complex Health-Related Activity Recognition Dataset from Smartphone Sensors
[IEEE] 2026-8-26 | Sinc-DFformer: An Intrinsically Interpretable Transformer Framework for Motor Imagery EEG Decoding
[IEEE] 2026-8-26 | 2026 IEEE International Conference on Artificial Intelligence Testing (AITest)
[IEEE] 2026-8-26 | Physics-Guided Cycle-Consistency Training for Stator Winding Fault Diagnosis in Synchronous Generators without Experimental Fault Data
[IEEE] 2026-8-26 | FGSM Adversarial Example Generation Method Based on Target Region Constraint and Cross-Model Gradient Fusion
[IEEE] 2026-8-26 | An Adaptive TimeGAN-Augmented Attention for Multi-IMU Human Activity Recognition
[IEEE] 2026-8-26 | FedPDR: Server-Side Post-Plateau Refinement for Federated Learning with Latent Diffusion
[IEEE] 2026-8-26 | Semi-Supervised Class-Incremental Learning for SAR Aircraft Recognition based on Mixture of Experts
[IEEE] 2026-8-26 | Building Trusted Data Spaces: The IEEE Computer Society Trusted Data Spaces Standards Committee from Architecture to Assurance and Interoperable Governance
[IEEE] 2026-8-26 | A
                    <sup>2</sup>
                    IMDet: Asymmetric and Adaptive Information-Preserving Multispectral Detection Framework
[IEEE] 2026-8-26 | Towards Quantum Prediction of Glucose
[IEEE] 2026-8-26 | A Hybrid PSO-GA Approach for Optimal EVCS Placement: A Comparative Study for Power Loss Reduction and Voltage Profile Improvement: Case Study of PT PLN UP3 Medan Kota
[IEEE] 2026-8-26 | Zadoff-Chu Sequences for Chirp-Domain Communication: Diversity-Complexity Tradeoffs in Doubly Dispersive Channels
[IEEE] 2026-8-26 | SGR-DSGS: A Stack Graph Representation and Dynamic Safe Grasp Scoring Framework for Intelligent Robotic Depalletizing of Tobacco Cartons Using Dual 3D Vision
[IEEE] 2026-8-26 | Temperature Dependence of Gain and Time Resolution in LGAD Detectors
[IEEE] 2026-8-26 | QR-LBTS: Quantum-Resilient Lattice-Based Threshold Signatures for Efficient Post-Quantum VANETs
[IEEE] 2026-8-26 | Charge Collection Efficiency in a Novel Graphene-Optimized Silicon Carbide Detector Under 160 keV X-Ray Irradiation
[IEEE] 2026-8-26 | Cloud-Edge Heterogeneous Resource Scheduling and Optimization for AI Inference Tasks
[IEEE] 2026-8-26 | EDGE 2026 Program Committee
[IEEE] 2026-8-26 | Scheduling Mixed-Criticality Jobs with Different Slack Times along with Tightly Coupled Parallel Jobs
[IEEE] 2026-8-26 | Bridging Theory and Practice in IoT Education Using a Modular ESP32-LoRa Training Kit
[IEEE] 2026-8-26 | Delay Violation Probability Guarantees in IIoT: A Digital Twin-Enabled Statistical Inference Approach
[IEEE] 2026-8-26 | Energy-Efficient RF Oscillation for Nanogenerator-Driven Real-Time Self-Powered Wireless Sensing_supp2-3727254.avi
[IEEE] 2026-8-26 | Research on Node Ordered Structure Identification of Temporal Multilayer Networks Based on Inter-layer Multi-order Structural Similarity
[IEEE] 2026-8-26 | ChatGosen: A Network Configuration Synthesis Approach with Semantic-Computation Decoupling
[IEEE] 2026-8-26 | Cooperative Optimization Scheduling of Multi-source Energy Storage in New Power Systems Based on Deep Reinforcement Learning
[IEEE] 2026-8-26 | Distributed Generalized Nash Equilibrium Seeking for Purely Monotone Games Under Communication Constraints
[IEEE] 2026-8-26 | PAD-Net: Towards Intelligent Diagnosis of Peripheral Artery Disease with a Deep Learning Framework
[IEEE] 2026-8-26 | Internal Dissipation Allocation in Control Lyapunov Function Design
[IEEE] 2026-8-26 | A Finite Element Based Analysis of Transmission Lines’ DLR Model Based on FERC Order 881 for Potential DG Integration
[IEEE] 2026-8-26 | Performance Analysis of RIS-assisted Two-Way Full-Duplex Cooperative NOMA Systems
[IEEE] 2026-8-26 | High-Precision Multibeamforming of Time-Modulated Arrays With Nonideality Compensation
[IEEE] 2026-8-26 | IoT-Based Estimation and Reduction of Water Age in Drinking Water Coolers
[IEEE] 2026-8-26 | Privacy-Region-Aware Adaptive Steganography for Secure Edge-Based Visual Streams
[IEEE] 2026-8-26 | IWQoS 2026 Author Index
[IEEE] 2026-8-26 | MPFV: Lightweight Multipath Forwarding Validation for SRv6 Networks
[IEEE] 2026-8-26 | Beyond Bypass: Measuring Vulnerability Regression in LLM-Generated Security Patches
[IEEE] 2026-8-26 | Enhanced Cooperation and Diminished Conflict via Group Role Assignment
[IEEE] 2026-8-26 | QoS-driven Network Soft Slicing through Token-based Hierarchical Scheduling
[IEEE] 2026-8-26 | FlyPS: A Flexible Multi-job Placement Scheme with Communication Scheduling in GPU Clusters
[IEEE] 2026-8-26 | Distributed Trajectory Planning and Resource Allocation for Dynamic Multi-UAV Collaborative Computing
[IEEE] 2026-8-26 | Improving Coastal SWOT Wide-Swath Wet Tropospheric Correction Using Objective Analysis
[IEEE] 2026-8-26 | Computer Science and Engineering Awards
[IEEE] 2026-8-26 | Improved Conductance Window in Bilayer FTJs Using Asymmetric Multipulse Wake-Up_supp1-3726994.pdf
[IEEE] 2026-8-26 | Revolutionizing Cloud SLA Management: The Fusion of Semantic Web and Logical Reasoning
[IEEE] 2026-8-26 | Compute-Aware Shared-Block Adaptive Execution for IMU-Based Human Activity Recognition
[IEEE] 2026-8-26 | CT-Sketch: Persistent Item Lookup Based on Collision Statistics and Thresholds
[IEEE] 2026-8-26 | CMSNet: A Cross-Modal Synergistic Network for Industrial Anomaly Detection
[IEEE] 2026-8-26 | AI-Driven Rate-Adaptive LDPC Coding and Decoding
[IEEE] 2026-8-26 | Ygg: Tree-Based Collaborative Speculative Decoding with Token-Only Transmission
[IEEE] 2026-8-26 | Noise-Resilient Few-Shot RF Fingerprinting for Unseen Emitters via Multi-Scale Temporal Meta-Learning
[IEEE] 2026-8-26 | Intelligent Researcher Recommendation Based on Hybrid GraphRAG and Semantic Knowledge Graph Fusion
[IEEE] 2026-8-26 | Democratizing Autonomous Deep Research: A Neuro-Symbolic Framework for Small Language Models via Grammar-Constrained Decoding
[IEEE] 2026-8-26 | CDWF: Few-Shot Learning for Cross-Domain Multi-Tab Website Fingerprinting
[IEEE] 2026-8-26 | Simulation Tests of Codes with Locality, Availability and Scalability Obtained by Plain Tessellation via [7, 3, 4] Simplex Code Graph
[IEEE] 2026-8-26 | An Inclusive Web-Based Ensemble System for Interactive and Expressive Music Performance
[IEEE] 2026-8-26 | Real-Time Vessel Anomaly Detection Based on Transformer Trajectory Prediction Using AIS Data
[IEEE] 2026-8-26 | Message from the PC Chairs AITest 2026
[IEEE] 2026-8-26 | Hierarchical Surgeon–Robot&amp;ndash;Patient Interaction for Robot&amp;ndash;Assisted Transperineal Prostate Biopsy Under Transrectal Ultrasound Guidance_supp2-3721824.mp4
[IEEE] 2026-8-26 | Rethinking Data Center Networks for IoT-Driven Environments: A Comparative Analysis of SpineLeaf, Three-Tier, and Switch-Fabric Architectures
[IEEE] 2026-8-26 | MCCN: A Two-Stage Automatic Chord Recognition Network Based on Coordinate Guidance and Channel Calibration
[IEEE] 2026-8-26 | Safe Formation Control of Multiple Quadrotor UAVs With Prescribed Performance and High-Order Control Barrier Functions
[IEEE] 2026-8-26 | Research on UAV Obstacle Localization Algorithm Based on DSP Image Recognition
[IEEE] 2026-8-26 | Impedimetric sensor for oil concentration detecting in the cold rolling steel process: a laboratory proof of concept
[IEEE] 2026-8-26 | Processing/p5 Defined Through Practice and Learning
[IEEE] 2026-8-26 | Generative AI in Higher Education: The Good, the Bad, and the Ugly
[IEEE] 2026-8-26 | Dual-Echo bSSFP for Rapid T2-Sensitive Quantitative Contrast Imaging at Ultra-Low Field_supp1-3727100.docx
[IEEE] 2026-8-26 | Optical Detection of Ensonified Capillary-Gravity Waves Using Polarimetric Imaging
[IEEE] 2026-8-26 | Design of a Pulse Width Measurement System for Pulse-Modulated RF Signals
[IEEE] 2026-8-26 | 2026 13th International Conference on Future Internet of Things and Cloud (FiCloud)
[IEEE] 2026-8-26 | BACScout: Evidence-Constrained Black-Box Testing of Broken Access Control in Microservice Applications
[IEEE] 2026-8-26 | STORE: Self-Provisioning Storage-as-a-Service for Serverless Functions
[ACM] 2026-8-26 | Between Relief and Reliance: Designing AI That Knows Its Limits
[ACM] 2026-8-26 | Friction by Design: Reclaiming Human Agency
[IEEE] 2026-8-26 | LSK-RM: A Physics-Guided Large Selective Kernel U-Net for Radio Map Reconstruction
[IEEE] 2026-8-26 | Toward Precise Pad-to-Coil Alignment in EV Inductive Charging With UWB
[IEEE] 2026-8-26 | A Variable-Length Polar Code Block Allocation Algorithm for Low-Latency Polar-Coded Receivers
[IEEE] 2026-8-26 | Software Engineering in Generative Art
[IEEE] 2026-8-26 | The Score Is Not the Skill: The Scoreboard Problem
[IEEE] 2026-8-26 | Semantic Layer-Enabled AI
[IEEE] 2026-8-26 | Exploring Fingertip Tactile Perception via High-Precision 3D Measurement
[IEEE] 2026-8-26 | P4VC: Positive Perturbation based Perceptual Preprocessing Framework for Video Compression
[IEEE] 2026-8-26 | An 11.1–27.5-GHz SiGe LNA With 1.62-dB Noise Figure and 32.2-dB Gain Using Noise Matching and Gain Flatness Optimization Techniques
[IEEE] 2026-8-26 | TraceMark: Chain-Consistent Parameter Watermarking for Lifecycle-Aware Ownership Verification
[IEEE] 2026-8-26 | IEEE Professional Communication Society Information
[IEEE] 2026-8-26 | DEC: Low-Bitrate Perceptual Restoration-aware Compression via Decoupled Energy-Complementary Method
[IEEE] 2026-8-26 | Total Scattering Cross Section of a PEC Sphere in a Reverberation Chamber
[IEEE] 2026-8-26 | μNeuFMT: Background-Optical-Property-Adaptive Fluorescence Molecular Tomography via Implicit Neural Representation
[IEEE] 2026-8-26 | Dual-Hop LEO Satellite-Terrestrial Communication With Joint Beamforming, Movable-Antenna Control, and Nonlinear Energy Harvesting
[IEEE] 2026-8-26 | Classification of Partial Shading Patterns in PV Systems via Convolutional Neural Networks
[IEEE] 2026-8-26 | Dynamic Modelling and Analysis of Speed Effects in LCC-LCC Compensated Dynamic Wireless Power Transfer Systems
[IEEE] 2026-8-26 | Subset-Driven Representation Learning for Hyperspectral Image Classification: Assessing Latent Space Quality Through Spectral-Spatial and Transformer-Based Models
[IEEE] 2026-8-26 | An Adaptive Multi-Metric Forwarding Strategy for Vehicular Named Data Networking with Hybrid Contention and Opportunistic Delivery
[IEEE] 2026-8-26 | ReasonCache: Accelerating Large Reasoning Model Serving through KV Cache Sharing
[IEEE] 2026-8-26 | A Lightweight End-to-End Multi-Source Localization Framework in Urban Environments via Local Radio Map Construction
[IEEE] 2026-8-26 | Zero-Cost Merging Transitioning for Large-Scale Erasure-Coded Storage Systems
