[2026-06-06 10:54:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[IEEE] 2026-6-5 | The Soft Clock: This Timepiece Merges Electronics and Millifluidics
[IEEE] 2026-6-5 | Guest Editorial for Selected Papers From BIOKDD 2024
[IEEE] 2026-6-5 | A Method for Physical Monitoring of Wireline Communications Based on Compressed Sensing and Spread-Spectrum Signals
[IEEE] 2026-6-5 | Asin Phase Demodulation for High-resolution FMCW Interferometry
[IEEE] 2026-6-5 | Flexible Passive LC Pressure Sensor With Impedance-Matched Readout for Extended Wireless Sensing Range_supp1-3697423.docx
[IEEE] 2026-6-5 | Fixed-Time Optimal-Power Thrust Control in Distributed Electric Cycloidal Propulsion Using Hybrid Residual Neural Networks
[IEEE] 2026-6-5 | Multiagent Deep Reinforcement Learning With Long-Term Temporal Dependencies for Microgrid Energy Optimization and Scheduling
[IEEE] 2026-6-5 | Investigation of Inter-turn Voltage Stress in Fractional Slot Concentrated Winding of Inverter-fed Permanent Magnet Synchronous Machines
[IEEE] 2026-6-5 | CONDEN-FI: Consistency and Diversity Learning-Based Multi-View Unsupervised Feature and Instance Co-Selection
[IEEE] 2026-6-5 | Wiley
[IEEE] 2026-6-5 | Field- and Temperature-Induced Drift in Multi-Level Al-Doped HfO
                    <sub>2</sub>
                    RRAM
[IEEE] 2026-6-5 | Evaluation of power supply capability of microgrids with energy storage system
[IEEE] 2026-6-5 | Optimizing Task Scheduling in Fog Computing with Deadline Awareness
[IEEE] 2026-6-5 | Reconfigurable Filters [From the Editor’s Desk]
[IEEE] 2026-6-5 | NEITH: Networked Evidence Integrity for Telemetry Hashing
[IEEE] 2026-6-5 | AUTOCTI: Automated Cyber Threat Detection Using AutoML
[IEEE] 2026-6-5 | Detection of Multiclass Pediatric Congenital Heart Defects using Deep Learning based Stacking Ensemble Method
[IEEE] 2026-6-5 | Multimodal Fusion with Cross-Modal Attention for Robust MCI-to-AD Prediction
[IEEE] 2026-6-5 | FairLabeler: Achieving Fairness via Biased Label Detection and Correction
[IEEE] 2026-6-5 | An Age-Aware Joint Scheduling and Semantic Extraction Approach for IIoT Systems With Multi-AGVs
[IEEE] 2026-6-5 | Modeling and Modification of Equivalent Planar Unfolding for Post-Type Composite Insulators
[IEEE] 2026-6-5 | M3T-UAV: Vision-based UAV geolocalization in multimodal, multiscene, and multitemporal scenarios
[IEEE] 2026-6-5 | Are Drivers Tired? An Edge AI-enabled Drowsiness Detection Framework in IoV
[IEEE] 2026-6-5 | Sparse ISAR Imaging via Frequency-Selective Atomic Norm Minimization and Accelerated ADMM
[IEEE] 2026-6-5 | AFDM Transceiver Optimization for PAPR Reduction
[IEEE] 2026-6-5 | TC-SSFN: Suppressing Seasonal Noise and Enhancing Feature Discrimination for Land Cover Time Series Change Detection
[IEEE] 2026-6-5 | Physically Consistent Near-Field MISO Communication: Impact of Receiver-to-Transmitter Mutual Coupling on Achievable Rate
[IEEE] 2026-6-5 | Quantum Machine Learning for Wireless-Powered UAV Positioning in 6G Digital Twin SAGIN with Cooperative Nano-Satellite Constellations
[IEEE] 2026-6-5 | Bone Fracture Detection Using Vision Transformers: A Comparative Analysis of the Pooling-Based Vision Transformer (PiT) and the Causal Transformer (CaFormer) Models
[IEEE] 2026-6-5 | Guiding Light Beyond sight: AI Powered Object Detection for Blind Navigation
[IEEE] 2026-6-5 | Wildlife Detection and Monitoring using Single Shot Detection
[IEEE] 2026-6-5 | A Comprehensive Review on Handwritten Descriptive Answer Script Evaluation
[IEEE] 2026-6-5 | ChemStruct: A Real-Time Molecular Visualization Platform for an Interactive Chemistry Learning
[IEEE] 2026-6-5 | Object Detection and Location Tracking on Water Surface using NVIDIA Jetson Orin Kit
[IEEE] 2026-6-5 | Food Quality and Authenticity Detection Using Deep Learning and OCR-Based Techniques
[IEEE] 2026-6-5 | IEEE Industrial Electronics Society Publication Information
[IEEE] 2026-6-5 | A Holistic Eating Monitoring System Enabled by Textile Strain Sensors and Hierarchical Network
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | DEMO Divertor Target Mock-Ups With Tungsten-Fiber-Reinforced Tungsten Monoblocks
[IEEE] 2026-6-5 | RGPKD: Reconstruction-Guided and Prompt-Enhanced Asymmetric Knowledge Distillation for Anomaly Detection
[IEEE] 2026-6-5 | Exploring Consistency for Data Clustering by Multi-View Multi-Order Graph Decomposition
[IEEE] 2026-6-5 | Multi-Objective Joint Optimization of Deep Network: For Online Learning of Streaming Data With Concept Drift_supp1-3699402.pdf
[IEEE] 2026-6-5 | Lie-Algebraic Approach to Geometric Nonlinear Inverse Optimal Attitude Tracking on_supp1-3700377.mp4
[IEEE] 2026-6-5 | ANN-Cache: Accelerating Approximate Nearest Neighbor Search Via Caching
[IEEE] 2026-6-5 | TACS: Decentralized per-Task Micro-Slicing for Deadline-Aware Provisioning in Distributed Computing Continuum Systems
[IEEE] 2026-6-5 | CRISPR-ImmunoPred: A Multi-Stage AI Framework to Predict T-Cell Reactivity and Mitigate Immunogenicity in CRISPR-Cas9 Therapies
[IEEE] 2026-6-5 | Detection Techniques for OTFS Transmissions Over Doubly-Selective Channels
[IEEE] 2026-6-5 | Dong Eui Chang [People in Control]
[IEEE] 2026-6-5 | Programmable Construction Methodology for High-Performance Interleaved Voltage-Multiplier DC–DC Converters via Flux-Balance Adjacency Matrices
[IEEE] 2026-6-5 | Predicting Student Academic Performance Using Machine Learning Techniques
[IEEE] 2026-6-5 | Human Karyotype Analysis Using Deep Learning with Chatbot Assistance
[IEEE] 2026-6-5 | A Real-Time Hardware-In-The-Loop Water SCADA Testbed for Cyber-Physical Research
[IEEE] 2026-6-5 | Evaluating Explainable AI Fidelity in Lightweight Vision Transformers Using Transfer Learning
[IEEE] 2026-6-5 | Artificial Intelligence Based Prediction of Menopausal Transition Phases from Symptomatology
[IEEE] 2026-6-5 | Federated and Reinforcement Learning for Cyber Defense: A Comprehensive Survey of Emerging Intelligent Security Paradigms
[IEEE] 2026-6-5 | AI-Driven Liver Disease Prediction: A Machine Learning and LSTM-Based Approach with Clinical Data
[ACM] 2026-6-6 | Design, Simulation, and Fabrication of a L-Shaped Folded-Beam MEMS Accelerometer for High-Temperature Applications
[IEEE] 2026-6-5 | A Simple Model-Predictive Control Strategy for Discrete-Time Port-Hamiltonian Boundary Control Systems
[IEEE] 2026-6-5 | Guidance of a human driver by an automated vehicle: Nonlinear control design via delayed spectral submanifold
[IEEE] 2026-6-5 | A ROS 2-Based Visual SLAM Navigation Framework: Integrating cuVSLAM and Nvblox with Nav2 Stack for Autonomous Navigation on Mobile Robot
[IEEE] 2026-6-5 | Model-Free Predictive Controllers for Voltage Source Inverter: A Unified Experimental Benchmarking
[IEEE] 2026-6-5 | IEEE Foundation
[IEEE] 2026-6-5 | AI-Enhanced Spatial Cellular Traffic Demand Prediction with Contextual Clustering and Error Correction for 5G/6G Planning
[IEEE] 2026-6-5 | Rapid Switchable Backdoor Attack on Any CLIP Model with Multiple Target Classes
[IEEE] 2026-6-5 | Better Hardware Could Turn Zeros Into AI Heroes: Sparse Computing Enables Leaner, Faster AI
[IEEE] 2026-6-5 | Research on Caching and Power Control Optimization Strategies Based on Vehicular Networking Communication
[IEEE] 2026-6-5 | A Spatiotemporal Information Extraction-Based FDI Attack Detection and Data Recovery Architecture for Wind Power Prediction Systems
[IEEE] 2026-6-5 | Mastering Beam Alignment for Satellite WPT: A Predictive ISAC Framework for Sustainable 6G Connectivity
[IEEE] 2026-6-5 | Comprehensive Investigation of Magnetic Properties of Fe–Si and Fe-Co Alloy Under Alternating and Rotational Magnetizations
[IEEE] 2026-6-5 | Large Language Model–Driven Feature Weighting for Cross-Device Harmonization of Wearable Data: A Generalizable Framework for Digital Health Models
[IEEE] 2026-6-5 | A Novel Bidirectional Multiport Converter for Integration of Renewable Energy and Storage Systems
[IEEE] 2026-6-5 | Decentralized End-to-End Multi-AAV Pursuit Using Predictive Spatio-Temporal Observation Via Deep Reinforcement Learning
[IEEE] 2026-6-5 | The Path I Didn’t Plan, but Chose: Finding My Place in Engineering [Women in Engineering]
[IEEE] 2026-6-5 | Overpass Ledger: Full Parallelization and Fast Re-Execution for High-Performance
[IEEE] 2026-6-5 | Advanced Electromagnetics Methods for Practical Engineering Applications [Guest Editorial]
[IEEE] 2026-6-5 | FedDD: Combating Federated Noisy Label Learning with Intra- and Inter-Distributional Difference
[IEEE] 2026-6-5 | HCDi-Fusion: Hybrid-Conditioned Diffusion Model for Cross-Resolution Multimodal Image Fusion
[IEEE] 2026-6-5 | A Lightweight Chaotic Map-Based Authentication Scheme for Secure Wearable Computing
[IEEE] 2026-6-5 | SCRAP LINK: Smart Scrap Collection and Trading System : Revolutionizing Scrap Management: A Web-Based Platform for Efficient Scrap Management
[IEEE] 2026-6-5 | Melanoma Classification using Adaptive Nutcracker Optimization -based Dense Residual Dual-Shuffle Attention Network using skin images
[IEEE] 2026-6-5 | An Ensembled Deep Learning Approach for Prognosis of Dysgraphia in Children through Handwritten Images
[ACM] 2026-6-6 | Text-to-SQL Agent: An Iterative Question Rewriting Framework Based on Reinforcement Learning
[IEEE] 2026-6-5 | Polarization- and Mutual-Coupling-Aware Rotatable Antennas Enabled Wireless Communications: Modeling, Orientation Optimization, and Prototyping
[IEEE] 2026-6-5 | Smart Platform for Effortless Assignment Submission and Precision Grading
[IEEE] 2026-6-5 | Real-Time Phishing Threat Detection Using Hybrid Deep Learning and Multi-Domain URL–Email Analysis
[IEEE] 2026-6-5 | VPN Queue Performance Analysis Using Matrix Analytics Methods
[IEEE] 2026-6-5 | A Single-Layer Pseudo-Quantum Creep-In Mechanism for Time-Series Forecasting
[IEEE] 2026-6-5 | Intelligent Feature Selection for Semiconductor Manufacturing Using a Hybrid Genetic Algorithm and Neural Network
[ACM] 2026-6-6 | Proceedings of the 2026 International Conference on Artificial Intelligence and Agents
[IEEE] 2026-6-5 | Current-Sensorless Virtual-Vector Quasi-Sliding Mode Predictive Control for T-Type Inverters
[IEEE] 2026-6-5 | Cardinal-Ordinal Consistency Adjustment Driven Group Consensus Decision Making With Distributed Preference Relations and Application in Remanufacturing Quality Management_supp1-3694094.docx
[IEEE] 2026-6-5 | Front Cover
[IEEE] 2026-6-5 | Conference Calendar
[IEEE] 2026-6-5 | Adaptive Dynamic Functional Connectivity with Deep Spatio-Temporal Fusion for High-Accuracy Identification of Major Depressive Disorder
[IEEE] 2026-6-5 | Reports From AP-S Committees &amp; Activities [AP-S Committees &amp; Activities]
[IEEE] 2026-6-5 | Self-Assembled Monolayer Functionalized Q-BIC Terahertz Metasurfaces for High-Sensitivity Biosensing_supp1-3697738.docx
[IEEE] 2026-6-5 | Strong Saddle-Shaped Geometry of Depth Maps Can Boost Multi-View Stereo
[IEEE] 2026-6-5 | Masthead
[IEEE] 2026-6-5 | HEPE++: Towards VLM-based Hybrid Explainable Prompt Enhancement for Zero-Shot Industrial Anomaly Detection
[IEEE] 2026-6-5 | A Novel Physics-Informed Transformer Algorithm (PITA) for Near&amp;#x2013;Real-Time Synergistic Multi-Parameter Aerosol Retrieval From FY-4B/AGRI Geostationary Satellite_supp1-3700045.docx
[IEEE] 2026-6-5 | The 2026 ICON Student Research Conference: A Stage for Students to Present, Collaborate, and Learn [Diversity, Outreach, and Development Activities]
[IEEE] 2026-6-5 | Safety-Certified Distributed Formation for Uncertain Multirobot Systems With Minimum Restrictive Connectivity Maintenance
[IEEE] 2026-6-5 | HierCIM: A 16-Kb SRAM-Based Digital CIM Macro With Hierarchical Adder-Tree Accumulation for Edge CNN Inference
[IEEE] 2026-6-5 | Domain Decomposition-Based DGTD Method With Automated Implicit–Explicit Classification for Multiscale Electromagnetic Modeling
[IEEE] 2026-6-5 | Performance Analysis and Optimization of Carrier Tracking PLL under Noise in GNSS Receivers
[IEEE] 2026-6-5 | Deep Learning-Based Predictive ISAC for Backscatter Vehicular Networks
[IEEE] 2026-6-5 | Multi-Objective Evolutionary Policy Learning Aided Resource Management for SCMA LEO Transmission
[IEEE] 2026-6-5 | Effect of Dielectric Barrier Discharge Plasma-Activated Water on Growth Characteristics of Hydroponic Lettuce
[IEEE] 2026-6-5 | Characterizing Tests in IoT Software: Practices, Challenges and Opportunities
[IEEE] 2026-6-5 | Preface
[IEEE] 2026-6-5 | Spatial Dynamics of the Western Ghats Ecosystem in Kerala, India
[IEEE] 2026-6-5 | CogCoor: A Cognition-Driven Heterogeneous Coordination Framework for Urban Multi-Target Tracking
[IEEE] 2026-6-5 | Quantitative Time-Resolved Imaging of Surface Acoustic Waves by Dual-Comb Interferometry with a Fiber-Based Sagnac Interferometer
[IEEE] 2026-6-5 | SMCPP: Safety Margin Controllable Path Planning via Safety Constraint Propagation
[IEEE] 2026-6-5 | Using the master-slave injection locking scheme in a Brillouin optomechanical system for the design of all-optical nonlinear photonic elements
[IEEE] 2026-6-5 | Detecting wave direction spectrum using GNSS multistatic reflectometry on an offshore platform
[IEEE] 2026-6-5 | Energy-Efficient UAV-RIS-assisted SWIPT in Integrated Ground-Aerial-Space Networks
[IEEE] 2026-6-5 | RWW 2027 Call for Papers RWS
[IEEE] 2026-6-5 | Power Factor Analysis and Optimization Control of a DC Biased Hybrid Excitation Vernier Machine
[IEEE] 2026-6-5 | Front Cover
[IEEE] 2026-6-5 | Decoupling Control of a Multi-segment Hybrid-Actuated Soft Origami Continuum Robot Through Variable Stiffness
[IEEE] 2026-6-5 | TRAN: Texture Response Adjustment Network for Lightweight Single Image Super-Resolution
[IEEE] 2026-6-5 | RAPNet: Rate-Distortion-Aware Video Pre-Processing via One-Step Reinforcement Learning for Video Coding
[IEEE] 2026-6-5 | Machine Learning-Enhanced Domain Decomposition FDTD for Electromagnetic Scattering Problems
[IEEE] 2026-6-5 | Enhancing Network Resilience: High Efficient Deployment Based on Digital Twin for Underwater Wireless Sensor Networks
[IEEE] 2026-6-5 | Secure Agentic AI–Driven Semantic Communication Framework for Autonomous Vehicle Coordination in 6G Edge Networks
[IEEE] 2026-6-5 | Cover 3
[IEEE] 2026-6-5 | CognNet: An Interpretable LLM-as-Judge Framework for SOLO-Level Prediction Using Structured Cognitive Evidence
[IEEE] 2026-6-5 | IEEE Journal of Biomedical and Health Informatics Publication Information
[IEEE] 2026-6-5 | Knowledge Graph Neural Network Enabled Personalized and Efficient Content Caching for Large-Scale Social Networks
[IEEE] 2026-6-5 | Defense Strategy for Active Vehicle Suspension Systems with Incomplete Modes: Risk-Driven Gain-Scheduling and Experimental Validation
[IEEE] 2026-6-5 | IEEE Conference on Decision and Control in Rio de Janeiro, 9–12 December 2025 [Conference Reports]
[IEEE] 2026-6-5 | Mario di Bernardo [People in Control]
[IEEE] 2026-6-5 | Adaptive Current Control for High-Efficiency Motor Drive Operation in Transients
[IEEE] 2026-6-5 | Contents
[IEEE] 2026-6-5 | Tensorized Noise-aware Anchor Graph Learning with Deep Complementary Information Propagation for Scalable Multi-view Clustering
[IEEE] 2026-6-5 | Front Cover
[ACM] 2026-6-6 | ST-OVTrack: Spatio-Temporal Enhanced Open-Vocabulary Tracking for Traffic Surveillance
[IEEE] 2026-6-5 | Stability Around the World [President’s Message]
[IEEE] 2026-6-5 | Adaptive-AI-Zerotrust-Chain: AI-Centric Zero Trust Enforcement for IoT Security
[IEEE] 2026-6-5 | Dual Image Super-Resolution for High-Resolution Imagery Using an Agentic Approach
[IEEE] 2026-6-5 | Federated Learning and Generative AI for Privacy-Preserving FinTech Cybersecurity
[IEEE] 2026-6-5 | QR Code Based Digital Payment System for Bus Conductors
[IEEE] 2026-6-5 | Artificial Intelligence for Strengthening E-Prescription Security in Healthcare Networks
[IEEE] 2026-6-5 | AutoContext: An Adaptive Framework for Intelligent Context Management in Large Language Models
[IEEE] 2026-6-5 | Unveiling Influential Nodes in Complex Networks: A Journey Through Graph Learning, Community Insights, and Fuzzy Hybrids
[IEEE] 2026-6-5 | AI-Powered Sentiment Analysis Using Image and Video
[IEEE] 2026-6-5 | Anomaly Detection in Vehicle Trajectories using LSTM Autoencoders and Gaussian Mixture Models
[IEEE] 2026-6-5 | Lightweight, Client-Side Approach for Real-Time Detection of Text-Based Dark Patterns in E-commerce
[IEEE] 2026-6-5 | SeatLux: Explainable AI for Seat-Level Visual Comfort Prediction and Illuminance Targets in Fluorescent and LED Classrooms
[IEEE] 2026-6-5 | A Hybrid PQC-Enabled Attribute and Data Encryption Pipeline for Next-Generation Metaverse Platforms
[IEEE] 2026-6-5 | BAVote: Blockchain-based Electronic Voting System with Privacy and Accountability
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | Meta-Policy-Based Multi-Agent Reinforcement Learning for Dynamic UAV Networks: Resolving Hybrid Action Spaces and Non-Stationarity
[IEEE] 2026-6-5 | Study on the Electron Acoustic Waves in Inhomogeneous Electron-Ion Plasmas
