[2026-07-03 11:33:31] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[IEEE] 2026-7-2 | Optimized Acceleration and Braking Dynamics of Heavy Mechanisms Transporting Liquid Loads
[IEEE] 2026-7-2 | From Pixels to Reality: Physical-Digital Patch Attacks on Real-World Camera
[IEEE] 2026-7-2 | Automated Framework for Red-Team Prompt Injection Testing of LLMs
[IEEE] 2026-7-2 | Leveraging Enhanced Test-Driven Development for Accurate Code Generation in LLMs
[ACM] 2026-7-3 | Accountability Gap: Measuring the Transparency of Bias Mitigation in Educational AI
[ACM] 2026-7-2 | Trajectory Tracking of Wheeled Mobile Robots using Model Predictive Control with Integrated Slip Parameters
[ACM] 2026-7-2 | Design and Development of z-axis robot based Experimental Setup to assist an Ionic Polymer Metal Composite (IPMC) based E-tongue system
[ACM] 2026-7-2 | HPMD: Enabling Hybrid Parallelism with Multi-Dimensional Adaptive DNN Training
[ACM] 2026-7-2 | Harmonia: Enhancing Data Placement and Migration in Hybrid Storage Systems via Multi-Agent Reinforcement Learning
[IEEE] 2026-7-2 | GPECOM 2026 Cover Page
[IEEE] 2026-7-2 | Systematic Evaluation of Hip Exoskeleton Assistance Parameters for Enhancing Gait Stability During Ground Slip Perturbations
[IEEE] 2026-7-2 | A Novel Neural Architecture With Multilevel Feature Extraction Coordinated by Dendritic Classifier_supp1-3703975.pdf
[IEEE] 2026-7-2 | A data-driven analysis of structural asymmetries in the gTLD registrar market
[IEEE] 2026-7-2 | Investigation on C-Band High-Efficiency RBWO Based on Phase Difference Analysis
[IEEE] 2026-7-2 | A Fast Reverberation Chamber-Based TIS Measurement Method Enabled by Additional Wireless Cable Tests
[IEEE] 2026-7-2 | CNT and ITZO TFTs Integrated Complementary Inverter with a High Gain of 1005 V V
                    <sup>-1</sup>
[IEEE] 2026-7-2 | The CoMoRe-AI 2026 Chairs Welcome
[IEEE] 2026-7-2 | Keynote: Trustworthy Mobility: Designing Cyber-Physical Intelligence People Can Trust
[IEEE] 2026-7-2 | Copyright and Reprint Permission
[IEEE] 2026-7-2 | Deep Learning-Based Robust Model Predictive Motion Control for Distributed Drive Electric Vehicles Subject to Extreme Conditions and External Disturbances
[IEEE] 2026-7-2 | SIREN: Self-supervised 4D Implicit Representation for Enhanced Radar- and Vision-based Activity Recognition for Ship Watch-Keeping Officers
[IEEE] 2026-7-2 | Prediction of Shortwave Propagation Characteristics for High-Altitude Aircraft: A Wide-Area High-Resolution Grid-Based Ray Tracing Method
[IEEE] 2026-7-2 | Profiling THz Beams With Off-Label Use of Infrared Microbolometric Cameras
[IEEE] 2026-7-2 | LEMON-Mapping: Loop-Enhanced Large-Scale Multi-Session Point Cloud Merging and Optimization for Globally Consistent Mapping
[IEEE] 2026-7-2 | Edge-Efficient Transformer for End-to-End RF Spectrum Monitoring
[ACM] 2026-7-2 | An MLIR-Based Compilation Framework for Control Flow Management on Coarse Grained Reconfigurable Arrays
[IEEE] 2026-7-2 | ProfRCA: LLM-Enabled Fine-Grained Root Cause Analysis with Continuous Profiling Data
[IEEE] 2026-7-2 | Reliability Parameters Modelling in Electric Power Grid Environment
[IEEE] 2026-7-2 | MineRAF: Residual-Aware Multimodal Trajectory Prediction with Attention-based Fusion in Mining Environments
[IEEE] 2026-7-2 | CNNs, GANs, and Transformers for Tomato Disease Detection and Classification: A Review
[IEEE] 2026-7-2 | Multi Model Hate Speech Analysis
[IEEE] 2026-7-2 | Deep Learning-Based Robustness Testing and Defense Mechanism for AI Against Adversarial Threats
[IEEE] 2026-7-2 | Agentic AI with Emulation-assisted Prevalidation for Edge-Cloud Service Orchestration
[IEEE] 2026-7-2 | Towards Validated MCQ Generation from Source Code: A Thematic Literature Survey and Proposed Architectural Framework
[IEEE] 2026-7-2 | RF-THERMO: Empowering Robust Wireless Temperature Sensing Under Motion Scenarios
[IEEE] 2026-7-2 | ChequeTrak: An Integrated Deep Learning Pipeline for Handwritten Text Extraction and Signature Validation in Indian Bank Cheques
[IEEE] 2026-7-2 | Dynamic Sensor Scheduling for Mid-to-Large Aircraft Platform Rescue: A Recurrent Deep Reinforcement Learning Approach
[IEEE] 2026-7-2 | Automating Multi-Modal Formative Assessment with Generative-AI Workflows and xAPI Analytics
[IEEE] 2026-7-2 | Preserving Concurrency-Revealing Seeds in Fuzzing of Concurrent Programs via Tuple-Based Coverage Evaluation
[IEEE] 2026-7-2 | Interpretable Deep Learning Approach for Deepfake Face Image Detection using Grad-CAM
[IEEE] 2026-7-2 | Use of Digital Twin and AI in Sport Analytics
[IEEE] 2026-7-2 | Deep Reinforcement Learning for Congested Multifunction Radar Task Scheduling
[IEEE] 2026-7-2 | MAGIC-AD: A Lightweight Multi-Scale Anomaly Detection Framework for Industrial Control Systems
[IEEE] 2026-7-2 | Deep Learning Based Spatial-Temporal Framework for Student Attentiveness Analysis
[IEEE] 2026-7-2 | Multi-level Reliability Analysis of Heavy-duty Robot Based on Modified Expert Evaluation Method
[IEEE] 2026-7-2 | Finite-Time Tracking Control of Underactuated MSVs with Lumped Uncertainties: A Conditional Disturbance Negation–based Strategy
[IEEE] 2026-7-2 | IoT-Enabled Navigation Cane with Adaptive Haptic Feedback for Enhanced Mobility and Safety of Blind Users
[IEEE] 2026-7-2 | Demand-Side Management Based on Fuzzy Logic for Multi-Energy Communities with Hybrid Storage Coordination
[IEEE] 2026-7-2 | Relocate and Emulate: Re-Hosting Android's Application Layer
[IEEE] 2026-7-2 | Multi-objective Optimization of Generation Cost and Carbon dioxide Emission of a Converted Coal-Biomass Cofiring Power Plant using Non-dominated Sorting Genetic Algorithm II
[IEEE] 2026-7-2 | GDPO: Dual Learning for Self-Supervised Code Summarization in the Era of Large Language Models
[IEEE] 2026-7-2 | POSTER: A Dataset Construction Framework for Detecting MitM Attacks on the 5G N3 Interface
[IEEE] 2026-7-2 | Exploring the Potential of Natural Language Processing For Automating Customer Service
[IEEE] 2026-7-2 | CropSure: A Machine Learning-Based Decision Support System for Sustainable Agriculture
[IEEE] 2026-7-2 | Neural State Estimation for Multi-Operator Power Systems with Fragmented Observability
[IEEE] 2026-7-2 | Cognitive Assessment of Aviation Service Quality: A Multimodal Agent Framework
[IEEE] 2026-7-2 | A Lightweight Two-Stage Semantic Segmentation Pipeline for Pitahaya Plant Disease Quantification
[IEEE] 2026-7-2 | Intelligent Multi-Layer Control and Optimal Energy Management for Grid-Connected Hybrid PV-Wind Systems with Flywheel Storage
[IEEE] 2026-7-2 | Blockchain and Zero-knowledge proofs based approach for a Secure E-Voting System
[IEEE] 2026-7-2 | Enhancing IoT Efficiency with Fog Computing: Reducing Cloud Load through Decentralized Processing
[IEEE] 2026-7-2 | Impact of Time-Series Representation on Emotion Recognition
[IEEE] 2026-7-2 | Self-Assessment in Robotics – Perspectives of High School Students
[IEEE] 2026-7-2 | AI Home Instance
[IEEE] 2026-7-2 | Overseas Learning in the Age of AI: Generative AI as a Cognitive Support Tool in Cross-Cultural Learning
[IEEE] 2026-7-2 | Investigating Demographic Bias in Eye-Tracking-based Machine Learning Models for Affective Computing
[ACM] 2026-7-3 | Proceedings of the 14th International Workshop on Genetic Improvement
[IEEE] 2026-7-2 | Cybersecurity Challenges in AI-Driven English Language Pedagogy
[IEEE] 2026-7-2 | Confidence-Based Maintenance Optimization in Digital Twins for Aging Sensor Networks
[IEEE] 2026-7-2 | An Agentic AI Framework for Conflict-Aware Smart Home Automation via Natural Language
[IEEE] 2026-7-2 | Privacy-Preserving Skeleton-Based Analysis of Visitor Behavior in Museums
[IEEE] 2026-7-2 | Nano Sweep Ocean Cleaner: AI/IoT System for Plastic and Microplastic Detection, Mapping, and Eco-safe Collection
[IEEE] 2026-7-2 | Systemic LUPUS Erythematosus Detection Using Deep Learning
[IEEE] 2026-7-2 | KITCHAT: Kitchen Inference and Tracking Using Clue-Based Home Assistive Talk
[ACM] 2026-7-3 | HoloPathTracer: Fast and Accurate Wave Path Tracing for Holography
[ACM] 2026-7-3 | SQuadGen: Generating Simple Quad Layouts via Chart Distance Fields
[ACM] 2026-7-3 | Single-View Holographic Volumetric 3D Printing with Coupled Differentiable Wave-Optical and Photochemical Optimization
[ACM] 2026-7-3 | Invisible Holographic Window: Full-color 3D Image Reconstruction from Transparent Surface-relief Computer-generated Holograms
[ACM] 2026-7-2 | Exploring the Use of AI-based Chatbots to Help Support Armed Forces Veterans’ Mental Health
[ACM] 2026-7-2 | Resilient Ways of Eating on a Budget: Personal Informatics Use Among People With Low SES
[ACM] 2026-7-2 | DynSpAttn: Efficient Attention via Dual-Side Dynamic Sparsity on Sparse Tensor Cores
[ACM] 2026-7-2 | EPLoN: Exploiting Efficient Parallelism with Selective Rematerialization for Lightning Attention on Ascend NPU
[ACM] 2026-7-2 | GPIR: Enabling Practical Private Information Retrieval with GPUs
[ACM] 2026-7-2 | Enhancement of Position Accuracy of An Industrial Robot Through a Combination of Kinematic Calibration and Machine Learning
[ACM] 2026-7-2 | Towards Global Localization Using Multi-Modal Object-Instance Re-Identification
[ACM] 2026-7-2 | ASPIRE: Accessible Surgical-robotics Platform for REsearch in Surgical Training, Skill Evaluation and Autonomy
[ACM] 2026-7-2 | MIRE: Mixed Reality based Interactive platform for Robotics Education
[IEEE] 2026-7-2 | Singularity Avoidance for Redundant Manipulators: An MSV-Based Mobility-Bound Approach_supp1-3706266.pdf
[IEEE] 2026-7-2 | Administrative Committee Information
[IEEE] 2026-7-2 | Label-Guided Masking and Imputation Network for Incomplete Multi-View Multi-Label Classification_supp1-3707408.pdf
[IEEE] 2026-7-2 | A Benchmark and Physics-Informed Optimization of LoRA for SAR Target Recognition (April 2026)
[IEEE] 2026-7-2 | QFFN-BERT: An Empirical Study of CLS-Level Quantum Feed-Forward Modules for Compact Transformer Classifiers
[IEEE] 2026-7-2 | An Evaluation Method for In-Situ Form Errors of Large-Scale Mandrels Based on Bi-Objective Optimization Including Frame Dimension and Harmonic Suppression
[IEEE] 2026-7-2 | Multisensor Gaussian-Cauchy kernel maximum correntropy KF with adaptive kernel bandwidth
[IEEE] 2026-7-2 | KinematicRL: A Sim-to-Real Reinforcement Learning Framework For Social Navigation With Kinodynamic Feasibility_supp1-3703136.pdf
[IEEE] 2026-7-2 | RAITS 2026 Cover Page
[IEEE] 2026-7-2 | Half Title Page
[IEEE] 2026-7-2 | MECO 2026 Panel Discussion
[IEEE] 2026-7-2 | A Dual-Branch Fusion Framework for Height Estimation from a Single Satellite Image
[IEEE] 2026-7-2 | Polarization-insensitive hybrid optical fiber and THz wireless transmission at 300 GHz enabled by blockwise Alamouti coding
[IEEE] 2026-7-2 | PerCom Workshops 2026 TOC
[IEEE] 2026-7-2 | PerCom Workshops 2026 TOC
[IEEE] 2026-7-2 | The Peak Stress Measurement of Discharge Electromagnetic Coils Based on FBG
[IEEE] 2026-7-2 | Complex DNA Synthesis Sequences
[IEEE] 2026-7-2 | Distributed Fault Detection for Multi-Agent Systems With Coupled State Constraints
[IEEE] 2026-7-2 | Keynote: Integrated Communication and Sensing for Pervasive Computing
[IEEE] 2026-7-2 | Welcome Message from the Chairs
[ACM] 2026-7-2 | pythOS: A Python library for solving IVPs by operator splitting
[IEEE] 2026-7-2 | DC-AC Conversion Efficiency Characterisation and Grid Stress Analysis of a Bidirectional EV Charging System Across Multiple Power Levels and States of Charge
[IEEE] 2026-7-2 | VisualLogAnalyzer: An Interactive Web Application for Multi-Level Log Analysis
[IEEE] 2026-7-2 | Next-Generation Network Traffic Forensics: A Streamlit Based Framework for Packet Captures
[IEEE] 2026-7-2 | A Current Source Three-Phase Rectifier for Bipolar DC Distribution Grids
[IEEE] 2026-7-2 | From Textual Descriptions to Code: A Filtering Approach for Locating Business Rules
[IEEE] 2026-7-2 | Research on Cooperative Control and Boundary Flow Regulation Methods for Highway Bridge and Tunnel Influence Zones Based on MFD and Game Theory
[IEEE] 2026-7-2 | Research on the Air-Ground Collaborative Mapping Method for UAV and UGV Based on Vision and LiDAR
[IEEE] 2026-7-2 | Privacy-Preserving Federated Learning for Multi-Disease ICU Outcome Prediction Under Realistic Clinical Heterogeneity
[IEEE] 2026-7-2 | Towards Analyzing N-Language Polyglot Programs
[IEEE] 2026-7-2 | Priority-Based Traffic Management System for Ambulance
[IEEE] 2026-7-2 | Echoshield: AI-Powered Precision Noise Cancellation
[IEEE] 2026-7-2 | FPFA: Flexible Polarization Fingerprint Authentication Framework for Large-Scale Devices
[IEEE] 2026-7-2 | A Full System Co-Simulation Platform for Evaluating Edge Machine Learning Inference Using Compute-in-Memory
[IEEE] 2026-7-2 | Constrained Temperature Regulation of Fuel Cells via Barrier and Lyapunov Functions
[IEEE] 2026-7-2 | Feature Selection Method Based on Secure MultiParty Computation and Its Application in State Evaluation
[IEEE] 2026-7-2 | Minimizing Sensor-Cloud Resource Makespan via Low-Coupling Request Scheduling for Embedded Edge Systems
[IEEE] 2026-7-2 | Transpilation Using Recursive Rewrite Rules: From Legacy to Maintainable Code
[IEEE] 2026-7-2 | Toward Reliable Code De-Obfuscation with Large Language Models
[IEEE] 2026-7-2 | IoT-Based Smart Cities: AI-Driven Traffic Control, Waste Management, and Energy Efficiency
[IEEE] 2026-7-2 | Speaker Verification Under Intra-speaker Variability
[IEEE] 2026-7-2 | Demonstrating Responsive Teleoperation Through Negative Latency
[IEEE] 2026-7-2 | Filterly – Multilingual Offensive Language Filter for Web Browsers
[IEEE] 2026-7-2 | Impact of Anonymization Techniques for ViT-based Human Action Recognition
[IEEE] 2026-7-2 | Improving Small Scale Electric Arc Detection in Railway Systems via Pantograph Centered ROI Extraction
[IEEE] 2026-7-2 | Edge-Based Well-Being Monitoring Using Non-Biometric Multimodal Digital Signals
[IEEE] 2026-7-2 | Cross-Domain Passive Channel Charting from Wi-Fi Sensing toward Robust Indoor Positioning
[IEEE] 2026-7-2 | Larger is Not Always Better: Leveraging Structured Code Diffs for Comment Inconsistency Detection
[IEEE] 2026-7-2 | Intelligent FPGA Enabled BMS for SOC and SOH Estimation Using Deep Learning Models
[IEEE] 2026-7-2 | Prediction of Diesel Generator Oil Pressure and Health Status Using a Hybrid Method
[IEEE] 2026-7-2 | A Measurement Study on the Adoption of Pledges and Unveils in the OpenBSD Operating System
[IEEE] 2026-7-2 | Load Frequency Control for a Two-Area Power System with Time Delay Based on the Artstein Transform
[IEEE] 2026-7-2 | BFI-Fall: Learning Beamforming Feedback Information in Wi-Fi Sensing for Fall Detection
[IEEE] 2026-7-2 | Recent Power Converters Utilized In Data Center Power Systems
[IEEE] 2026-7-2 | Multi-Band Attention Network for Stress Monitoring Using Reduced-Channel EEG Signals
[IEEE] 2026-7-2 | A Vehicle Trajectory Prediction Model for Highways Based on Multi-modal Feature Fusion
[IEEE] 2026-7-2 | Wear2Toy: Leveraging Wearable Devices for Hand-Held Objects Activity Recognition
[IEEE] 2026-7-2 | Development of an AI-Business Transformation Framework for Australian SMEs: A PRISMA-Based Systematic Review and Design Science Approach
[IEEE] 2026-7-2 | Stationarity-Aware QoS Prediction for Platooning in V2X Networks
[IEEE] 2026-7-2 | Byzantine-Resistant Federated Learning Using Reinforced RNN
[ACM] 2026-7-3 | Persistence-guided Prescribed Topological Simplification
[ACM] 2026-7-3 | Applying Genetic Improvement Techniques for Automated Program Repair of Transpiled Code
[IEEE] 2026-7-2 | MEDIGUARD 7X - A Smart, Secure Medicine Box For Timely Medication
[IEEE] 2026-7-2 | Particle Swarm Optimization-Based Ultrasonic Waveform Design Method
[IEEE] 2026-7-2 | VLSI Architecture for FIR Filter Using Exact and Approximate Vedic Multipliers
[IEEE] 2026-7-2 | Multi-Cancer Detection and Classification Using Deep Learning and Ensembling
[IEEE] 2026-7-2 | Analysis of Recent Developments in Quantum Cryptography: A Comprehensive Review
[IEEE] 2026-7-2 | Discrete Energy Levels and Charge Transport in Quantum-Dot Single-Electron Transistors
